{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 1}, 0.744993624840621
{'task_description': 1, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7444825772188681
{'task_description': 1, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7444825772188681
{'task_description': 3, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.7439180537772088
{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7397657892102892
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7397657892102892
{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7397657892102892
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.7390606182256123
{'task_description': 5, 'ctr_description': 0, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 0}, 0.7037483367226531
{'task_description': 3, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7033312382149592
{'task_description': 3, 'ctr_description': 2, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 2}, 0.7028531137468208
{'task_description': 0, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 1}, 0.7003174603174602
{'task_description': 4, 'ctr_description': 2, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 2}, 0.6999699969997
{'task_description': 1, 'ctr_description': 5, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 0}, 0.6943811217715875
{'task_description': 4, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 2}, 0.6943811217715875
{'task_description': 5, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 0}, 0.6899689968996899
{'task_description': 0, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 0}, 0.6807782929239188
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 2}, 0.6788438378161381
{'task_description': 4, 'ctr_description': 2, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 3}, 0.6542999574137629
{'task_description': 0, 'ctr_description': 2, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 3}, 0.6518580186180276
{'task_description': 3, 'ctr_description': 1, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 3}, 0.633811412877632
{'task_description': 1, 'ctr_description': 2, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 1}, 0.6198479391756703
{'task_description': 1, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 3}, 0.607853123169769
{'task_description': 1, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 3}, 0.5998399359743898
{'task_description': 5, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 3}, 0.5876719121062659
