{'task_description': 3, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.7527687378591791
{'task_description': 2, 'ctr_description': 2, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 0}, 0.7487689679429204
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 1}, 0.744993624840621
{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.7444825772188681
{'task_description': 4, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.7444825772188681
{'task_description': 7, 'ctr_description': 7, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.730080721142828
{'task_description': 5, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 1}, 0.7297567811029927
{'task_description': 7, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.7277951406391774
{'task_description': 5, 'ctr_description': 7, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 1}, 0.7241656009428521
{'task_description': 5, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 4}, 0.7234443746071653
{'task_description': 4, 'ctr_description': 4, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 1}, 0.6999699969997
{'task_description': 7, 'ctr_description': 4, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 1}, 0.6995192307692308
{'task_description': 4, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 3}, 0.6989160979526294
{'task_description': 6, 'ctr_description': 7, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 0}, 0.6989160979526294
{'task_description': 4, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 3}, 0.6989160979526294
{'task_description': 7, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 3}, 0.6985227615315044
{'task_description': 7, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 3}, 0.6985227615315044
{'task_description': 4, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 4}, 0.6980676328502415
{'task_description': 1, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 3}, 0.6980676328502415
{'task_description': 6, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 3}, 0.6880032206119162
{'task_description': 1, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 4}, 0.6854707792207793
{'task_description': 1, 'ctr_description': 3, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 1}, 0.6827075621364358
{'task_description': 7, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 1}, 0.6791979949874687
{'task_description': 5, 'ctr_description': 4, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 3}, 0.677938808373591
{'task_description': 7, 'ctr_description': 4, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 4}, 0.6550324675324675
