{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.6633593196314671
{'task_description': 3, 'ctr_description': 0, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 0}, 0.6612466124661247
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.6520701824146329
{'task_description': 1, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 0}, 0.6514530639159719
{'task_description': 0, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 0}, 0.6465773809523809
{'task_description': 3, 'ctr_description': 0, 'statement_description': 6, 'highlight_description': 0, 'answer_description': 0}, 0.6409650159814353
{'task_description': 3, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 0}, 0.6373353693452949
{'task_description': 3, 'ctr_description': 2, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 0}, 0.6279234585400425
{'task_description': 3, 'ctr_description': 2, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 0}, 0.6254269031618376
{'task_description': 2, 'ctr_description': 1, 'statement_description': 6, 'highlight_description': 0, 'answer_description': 0}, 0.6234511143219931
{'task_description': 3, 'ctr_description': 0, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 0}, 0.623030690991856
{'task_description': 4, 'ctr_description': 0, 'statement_description': 6, 'highlight_description': 0, 'answer_description': 0}, 0.6228057449586537
{'task_description': 3, 'ctr_description': 0, 'statement_description': 7, 'highlight_description': 0, 'answer_description': 0}, 0.6145399130473758
{'task_description': 2, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 0}, 0.612306774690591
{'task_description': 3, 'ctr_description': 2, 'statement_description': 7, 'highlight_description': 0, 'answer_description': 0}, 0.6102055279943303
{'task_description': 0, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 0}, 0.6100131752305665
{'task_description': 2, 'ctr_description': 0, 'statement_description': 7, 'highlight_description': 0, 'answer_description': 0}, 0.5966928816293607
{'task_description': 0, 'ctr_description': 0, 'statement_description': 6, 'highlight_description': 0, 'answer_description': 0}, 0.5932348533504603
{'task_description': 0, 'ctr_description': 0, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 1}, 0.5800176834659593
{'task_description': 4, 'ctr_description': 1, 'statement_description': 7, 'highlight_description': 0, 'answer_description': 1}, 0.5800176834659593
{'task_description': 4, 'ctr_description': 0, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 1}, 0.5541297373715405
{'task_description': 3, 'ctr_description': 2, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 1}, 0.5501893939393939
{'task_description': 2, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 1}, 0.546485260770975
{'task_description': 2, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 1}, 0.546485260770975
{'task_description': 0, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 1}, 0.511737089201878
