{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.6838025295797634
{'task_description': 5, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 0}, 0.6680201230879236
{'task_description': 0, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.6541552232733191
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.6487641215171294
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 0}, 0.6453445041247976
{'task_description': 3, 'ctr_description': 4, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 0}, 0.6427070197562001
{'task_description': 1, 'ctr_description': 2, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 0}, 0.6413628212791392
{'task_description': 0, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 2, 'answer_description': 0}, 0.6373758267575781
{'task_description': 0, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 0}, 0.6337846550612508
{'task_description': 0, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 0}, 0.6337846550612508
{'task_description': 0, 'ctr_description': 7, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 0}, 0.6294266551841123
{'task_description': 3, 'ctr_description': 7, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 1}, 0.6266666666666667
{'task_description': 0, 'ctr_description': 6, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 0}, 0.6265172735760971
{'task_description': 0, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 0}, 0.6260150106303952
{'task_description': 0, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 0}, 0.6175523349436394
{'task_description': 4, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 1}, 0.6010532195005187
{'task_description': 5, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 1}, 0.5934065934065934
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 2}, 0.5892549084038445
{'task_description': 5, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 0}, 0.5743352535543006
{'task_description': 5, 'ctr_description': 7, 'statement_description': 4, 'highlight_description': 3, 'answer_description': 3}, 0.5628703094140882
{'task_description': 5, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 3, 'answer_description': 3}, 0.5618661257606491
{'task_description': 5, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 3}, 0.5404411764705883
{'task_description': 4, 'ctr_description': 5, 'statement_description': 2, 'highlight_description': 3, 'answer_description': 3}, 0.5321448737597806
{'task_description': 3, 'ctr_description': 5, 'statement_description': 4, 'highlight_description': 1, 'answer_description': 2}, 0.528931013933426
{'task_description': 3, 'ctr_description': 7, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 2}, 0.5287272727272727
