{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7256791114679513
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7229608696135916
{'task_description': 2, 'ctr_description': 2, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 1}, 0.7199875550024446
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 0}, 0.7198879551820728
{'task_description': 1, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 1}, 0.7193888913634137
{'task_description': 3, 'ctr_description': 1, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 0}, 0.7104377104377104
{'task_description': 2, 'ctr_description': 1, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 0}, 0.7064312047699239
{'task_description': 4, 'ctr_description': 1, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 0}, 0.7063403781979978
{'task_description': 6, 'ctr_description': 1, 'statement_description': 6, 'highlight_description': 0, 'answer_description': 0}, 0.7033300370004111
{'task_description': 6, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 2}, 0.6965823839955543
{'task_description': 3, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 0}, 0.6954450629748212
{'task_description': 3, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 0}, 0.6899138649624896
{'task_description': 4, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 0}, 0.6887515478753667
{'task_description': 2, 'ctr_description': 1, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 2}, 0.6866541627826008
{'task_description': 2, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 3}, 0.6762313777411854
{'task_description': 2, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 3}, 0.6732752489331437
{'task_description': 2, 'ctr_description': 1, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 0}, 0.6597222222222222
{'task_description': 4, 'ctr_description': 1, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 3}, 0.6593386627906976
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 2}, 0.6581616694222261
{'task_description': 4, 'ctr_description': 1, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 3}, 0.649465122346882
{'task_description': 3, 'ctr_description': 4, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 2}, 0.6412245308535727
{'task_description': 2, 'ctr_description': 1, 'statement_description': 6, 'highlight_description': 0, 'answer_description': 4}, 0.6399690440673405
{'task_description': 4, 'ctr_description': 4, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 4}, 0.6357221407624634
{'task_description': 5, 'ctr_description': 3, 'statement_description': 6, 'highlight_description': 0, 'answer_description': 3}, 0.6288489736070382
{'task_description': 4, 'ctr_description': 3, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 4}, 0.6279511816316833
