{'task_description': 2, 'instruction_description': 4, 'answer_description': 0}, 0.6762971980774539
{'task_description': 0, 'instruction_description': 1, 'answer_description': 0}, 0.6747497177094008
{'task_description': 1, 'instruction_description': 0, 'answer_description': 0}, 0.6742537257650986
{'task_description': 0, 'instruction_description': 6, 'answer_description': 0}, 0.6730057726022183
{'task_description': 0, 'instruction_description': 2, 'answer_description': 0}, 0.6720602016765644
{'task_description': 0, 'instruction_description': 7, 'answer_description': 0}, 0.6717317737240125
{'task_description': 2, 'instruction_description': 3, 'answer_description': 0}, 0.6710641725917996
{'task_description': 2, 'instruction_description': 3, 'answer_description': 0}, 0.6663706095467441
{'task_description': 0, 'instruction_description': 6, 'answer_description': 0}, 0.664340946522687
{'task_description': 2, 'instruction_description': 3, 'answer_description': 0}, 0.6640409560984575
{'task_description': 0, 'instruction_description': 6, 'answer_description': 0}, 0.6603546780207863
{'task_description': 0, 'instruction_description': 3, 'answer_description': 1}, 0.660027182342563
{'task_description': 2, 'instruction_description': 3, 'answer_description': 0}, 0.6595701123322721
{'task_description': 4, 'instruction_description': 3, 'answer_description': 0}, 0.6558051952814777
{'task_description': 0, 'instruction_description': 3, 'answer_description': 0}, 0.6551016992569151
{'task_description': 4, 'instruction_description': 6, 'answer_description': 0}, 0.6522028866729856
{'task_description': 4, 'instruction_description': 5, 'answer_description': 1}, 0.6509458889202564
{'task_description': 4, 'instruction_description': 3, 'answer_description': 1}, 0.6501201872206082
{'task_description': 3, 'instruction_description': 3, 'answer_description': 0}, 0.6486362578931097
{'task_description': 5, 'instruction_description': 3, 'answer_description': 1}, 0.6483739135498366
{'task_description': 0, 'instruction_description': 3, 'answer_description': 0}, 0.647173740984986
{'task_description': 4, 'instruction_description': 3, 'answer_description': 0}, 0.6454310704159073
{'task_description': 3, 'instruction_description': 6, 'answer_description': 0}, 0.626460309961794
{'task_description': 3, 'instruction_description': 6, 'answer_description': 0}, 0.6102846907934972
{'task_description': 5, 'instruction_description': 5, 'answer_description': 1}, 0.6039603789063108
