{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6927246133842717
{'task_description': 2, 'instruction_description': 1, 'answer_description': 0}, 0.6888865708943646
{'task_description': 0, 'instruction_description': 1, 'answer_description': 0}, 0.6886698558789668
{'task_description': 2, 'instruction_description': 1, 'answer_description': 0}, 0.6880020904367568
{'task_description': 2, 'instruction_description': 0, 'answer_description': 0}, 0.6869763822637408
{'task_description': 1, 'instruction_description': 1, 'answer_description': 0}, 0.6859623590387536
{'task_description': 2, 'instruction_description': 3, 'answer_description': 0}, 0.6856489797373554
{'task_description': 2, 'instruction_description': 1, 'answer_description': 0}, 0.6853566133270038
{'task_description': 2, 'instruction_description': 3, 'answer_description': 0}, 0.685103953891282
{'task_description': 0, 'instruction_description': 1, 'answer_description': 0}, 0.6847882741286202
{'task_description': 2, 'instruction_description': 3, 'answer_description': 0}, 0.684087646285845
{'task_description': 2, 'instruction_description': 1, 'answer_description': 0}, 0.6820031295620491
{'task_description': 3, 'instruction_description': 0, 'answer_description': 0}, 0.6805366731295973
{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6792966507016349
{'task_description': 0, 'instruction_description': 1, 'answer_description': 0}, 0.6734083840918774
{'task_description': 3, 'instruction_description': 2, 'answer_description': 0}, 0.6680991761792174
{'task_description': 3, 'instruction_description': 0, 'answer_description': 0}, 0.6578322748717486
{'task_description': 0, 'instruction_description': 0, 'answer_description': 2}, 0.6529776525932447
{'task_description': 2, 'instruction_description': 0, 'answer_description': 1}, 0.6475513152564133
{'task_description': 2, 'instruction_description': 0, 'answer_description': 1}, 0.6458110501336151
{'task_description': 2, 'instruction_description': 0, 'answer_description': 2}, 0.6440160312461055
{'task_description': 2, 'instruction_description': 0, 'answer_description': 2}, 0.6429418163379965
{'task_description': 0, 'instruction_description': 0, 'answer_description': 2}, 0.6413528408424821
{'task_description': 1, 'instruction_description': 0, 'answer_description': 1}, 0.6399955306486461
{'task_description': 2, 'instruction_description': 1, 'answer_description': 1}, 0.6218802688456913
