{'task_description': 0, 'instruction_description': 0, 'answer_description': 1}, 0.6868704953701164
{'task_description': 0, 'instruction_description': 0, 'answer_description': 2}, 0.6824496978768011
{'task_description': 4, 'instruction_description': 1, 'answer_description': 4}, 0.6816644222209077
{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6810050321698924
{'task_description': 1, 'instruction_description': 0, 'answer_description': 0}, 0.6794051514265134
{'task_description': 0, 'instruction_description': 0, 'answer_description': 2}, 0.676479805698371
{'task_description': 2, 'instruction_description': 0, 'answer_description': 0}, 0.6719172536456453
{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6708663156261657
{'task_description': 0, 'instruction_description': 1, 'answer_description': 0}, 0.6620055685180504
{'task_description': 4, 'instruction_description': 0, 'answer_description': 2}, 0.6559792190068958
{'task_description': 0, 'instruction_description': 2, 'answer_description': 2}, 0.6555560492198972
{'task_description': 2, 'instruction_description': 0, 'answer_description': 0}, 0.6543228927160855
{'task_description': 3, 'instruction_description': 2, 'answer_description': 0}, 0.6457158679261081
{'task_description': 0, 'instruction_description': 0, 'answer_description': 3}, 0.6407156088169398
{'task_description': 2, 'instruction_description': 0, 'answer_description': 2}, 0.6400146877445891
{'task_description': 3, 'instruction_description': 3, 'answer_description': 0}, 0.6364767535013547
{'task_description': 3, 'instruction_description': 0, 'answer_description': 5}, 0.627004650181511
{'task_description': 0, 'instruction_description': 3, 'answer_description': 3}, 0.6207648367844649
{'task_description': 0, 'instruction_description': 3, 'answer_description': 3}, 0.6190239029907537
{'task_description': 0, 'instruction_description': 3, 'answer_description': 3}, 0.609240020152846
{'task_description': 3, 'instruction_description': 1, 'answer_description': 2}, 0.606399042714593
{'task_description': 2, 'instruction_description': 1, 'answer_description': 3}, 0.6002920897787107
{'task_description': 2, 'instruction_description': 3, 'answer_description': 3}, 0.5986385065538272
{'task_description': 0, 'instruction_description': 3, 'answer_description': 2}, 0.572083286245759
{'task_description': 4, 'instruction_description': 0, 'answer_description': 3}, 0.565165463311901
