{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6729128087817131
{'task_description': 1, 'instruction_description': 0, 'answer_description': 1}, 0.668519719445061
{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6588576930771237
{'task_description': 2, 'instruction_description': 1, 'answer_description': 1}, 0.6569166220472499
{'task_description': 2, 'instruction_description': 1, 'answer_description': 1}, 0.6494018185627524
{'task_description': 7, 'instruction_description': 4, 'answer_description': 3}, 0.6094359803328829
{'task_description': 5, 'instruction_description': 4, 'answer_description': 5}, 0.5956356000996108
{'task_description': 3, 'instruction_description': 6, 'answer_description': 6}, 0.5801013466598717
{'task_description': 6, 'instruction_description': 2, 'answer_description': 3}, 0.5751549022889452
{'task_description': 6, 'instruction_description': 2, 'answer_description': 5}, 0.5652240640579824
{'task_description': 6, 'instruction_description': 2, 'answer_description': 3}, 0.5615775677821953
{'task_description': 5, 'instruction_description': 2, 'answer_description': 4}, 0.5580245319008108
{'task_description': 5, 'instruction_description': 4, 'answer_description': 2}, 0.5565293940380152
{'task_description': 3, 'instruction_description': 6, 'answer_description': 6}, 0.5540927380047693
{'task_description': 7, 'instruction_description': 4, 'answer_description': 4}, 0.5495642778896885
{'task_description': 6, 'instruction_description': 2, 'answer_description': 4}, 0.5472467012133575
{'task_description': 7, 'instruction_description': 5, 'answer_description': 3}, 0.5325083162946674
{'task_description': 7, 'instruction_description': 3, 'answer_description': 2}, 0.4921515344279156
{'task_description': 7, 'instruction_description': 5, 'answer_description': 4}, 0.48257211113385734
{'task_description': 3, 'instruction_description': 3, 'answer_description': 2}, 0.4780919305122544
{'task_description': 3, 'instruction_description': 5, 'answer_description': 6}, 0.4661849893139129
{'task_description': 7, 'instruction_description': 2, 'answer_description': 5}, 0.4621134042410617
{'task_description': 3, 'instruction_description': 2, 'answer_description': 6}, 0.44207690692537255
{'task_description': 7, 'instruction_description': 3, 'answer_description': 6}, 0.3965513347715198
{'task_description': 4, 'instruction_description': 5, 'answer_description': 4}, 0.36427470223950753
