{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.655934990555889
{'task_description': 1, 'instruction_description': 1, 'answer_description': 1}, 0.6438715245522083
{'task_description': 2, 'instruction_description': 2, 'answer_description': 2}, 0.6715126787634326
{'task_description': 3, 'instruction_description': 3, 'answer_description': 3}, 0.6054441684452375
{'task_description': 4, 'instruction_description': 4, 'answer_description': 4}, 0.6041712611419919
{'task_description': 1, 'instruction_description': 1, 'answer_description': 4}, 0.6456440962554831
{'task_description': 4, 'instruction_description': 4, 'answer_description': 2}, 0.6317676643739716
{'task_description': 1, 'instruction_description': 0, 'answer_description': 4}, 0.6001113953875187
{'task_description': 2, 'instruction_description': 3, 'answer_description': 2}, 0.6723063261530786
{'task_description': 2, 'instruction_description': 4, 'answer_description': 0}, 0.6442694989457826
{'task_description': 4, 'instruction_description': 1, 'answer_description': 2}, 0.6643554721184937
{'task_description': 2, 'instruction_description': 4, 'answer_description': 1}, 0.6344099040523342
{'task_description': 1, 'instruction_description': 3, 'answer_description': 4}, 0.5506178331399708
{'task_description': 4, 'instruction_description': 3, 'answer_description': 2}, 0.6177917410505477
{'task_description': 0, 'instruction_description': 1, 'answer_description': 1}, 0.658239244086118
{'task_description': 1, 'instruction_description': 3, 'answer_description': 3}, 0.5369771706359202
{'task_description': 3, 'instruction_description': 2, 'answer_description': 4}, 0.6603038833731385
{'task_description': 1, 'instruction_description': 4, 'answer_description': 4}, 0.6437228758638828
{'task_description': 1, 'instruction_description': 4, 'answer_description': 3}, 0.627720088943197
{'task_description': 3, 'instruction_description': 1, 'answer_description': 1}, 0.6578770103501768
{'task_description': 3, 'instruction_description': 2, 'answer_description': 4}, 0.6621358510659519
{'task_description': 1, 'instruction_description': 0, 'answer_description': 2}, 0.6236963473447584
{'task_description': 3, 'instruction_description': 1, 'answer_description': 4}, 0.6606451421011561
{'task_description': 1, 'instruction_description': 3, 'answer_description': 0}, 0.5523462742274533
{'task_description': 4, 'instruction_description': 4, 'answer_description': 1}, 0.6048742199783284
