{'task_description': 0, 'doc_description': 1, 'highlight_description': 0, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.9723127035830619
{'task_description': 5, 'doc_description': 4, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.9706840390879479
{'task_description': 5, 'doc_description': 0, 'highlight_description': 6, 'statement_description': 1, 'answer_description_2_labels': 2}, 0.9690553745928339
{'task_description': 0, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 0, 'answer_description_2_labels': 1}, 0.9690553745928339
{'task_description': 0, 'doc_description': 0, 'highlight_description': 4, 'statement_description': 0, 'answer_description_2_labels': 3}, 0.9690553745928339
{'task_description': 1, 'doc_description': 2, 'highlight_description': 2, 'statement_description': 0, 'answer_description_2_labels': 0}, 0.9690553745928339
{'task_description': 0, 'doc_description': 3, 'highlight_description': 3, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.9674267100977199
{'task_description': 2, 'doc_description': 0, 'highlight_description': 2, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.9674267100977199
{'task_description': 2, 'doc_description': 4, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 1}, 0.9657980456026058
{'task_description': 2, 'doc_description': 4, 'highlight_description': 2, 'statement_description': 1, 'answer_description_2_labels': 2}, 0.9657980456026058
{'task_description': 3, 'doc_description': 0, 'highlight_description': 2, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.9625407166123778
{'task_description': 5, 'doc_description': 4, 'highlight_description': 6, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.9625407166123778
{'task_description': 5, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 2, 'answer_description_2_labels': 1}, 0.9609120521172638
{'task_description': 5, 'doc_description': 2, 'highlight_description': 0, 'statement_description': 0, 'answer_description_2_labels': 4}, 0.9609120521172638
{'task_description': 5, 'doc_description': 2, 'highlight_description': 7, 'statement_description': 0, 'answer_description_2_labels': 4}, 0.9592833876221498
{'task_description': 4, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 1, 'answer_description_2_labels': 1}, 0.9576547231270358
{'task_description': 5, 'doc_description': 0, 'highlight_description': 2, 'statement_description': 2, 'answer_description_2_labels': 1}, 0.9576547231270358
{'task_description': 3, 'doc_description': 2, 'highlight_description': 5, 'statement_description': 0, 'answer_description_2_labels': 1}, 0.9576547231270358
{'task_description': 3, 'doc_description': 2, 'highlight_description': 2, 'statement_description': 4, 'answer_description_2_labels': 2}, 0.9543973941368078
{'task_description': 5, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 4, 'answer_description_2_labels': 2}, 0.9511400651465798
{'task_description': 3, 'doc_description': 5, 'highlight_description': 6, 'statement_description': 2, 'answer_description_2_labels': 2}, 0.9478827361563518
{'task_description': 4, 'doc_description': 5, 'highlight_description': 5, 'statement_description': 4, 'answer_description_2_labels': 2}, 0.9413680781758957
{'task_description': 2, 'doc_description': 4, 'highlight_description': 6, 'statement_description': 3, 'answer_description_2_labels': 2}, 0.9267100977198697
{'task_description': 2, 'doc_description': 5, 'highlight_description': 6, 'statement_description': 3, 'answer_description_2_labels': 4}, 0.9120521172638436
{'task_description': 5, 'doc_description': 0, 'highlight_description': 2, 'statement_description': 3, 'answer_description_2_labels': 1}, 0.8485342019543974
