{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7133878064110623
{'task_description': 7, 'ctr_description': 6, 'statement_description': 0, 'answer_description': 0}, 0.7085720028137876
{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.7037483367226531
{'task_description': 1, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 0}, 0.7010463378176383
{'task_description': 0, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 0}, 0.6997297567811029
{'task_description': 3, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 0}, 0.6989160979526294
{'task_description': 8, 'ctr_description': 6, 'statement_description': 2, 'answer_description': 0}, 0.6915998887737304
{'task_description': 6, 'ctr_description': 7, 'statement_description': 0, 'answer_description': 0}, 0.6736210489317367
{'task_description': 6, 'ctr_description': 7, 'statement_description': 0, 'answer_description': 0}, 0.6736210489317367
{'task_description': 4, 'ctr_description': 6, 'statement_description': 1, 'answer_description': 2}, 0.6698412698412699
{'task_description': 8, 'ctr_description': 5, 'statement_description': 2, 'answer_description': 2}, 0.6680201230879236
{'task_description': 5, 'ctr_description': 5, 'statement_description': 2, 'answer_description': 0}, 0.6659042430161137
{'task_description': 8, 'ctr_description': 7, 'statement_description': 1, 'answer_description': 0}, 0.6578099838969405
{'task_description': 4, 'ctr_description': 5, 'statement_description': 2, 'answer_description': 2}, 0.6486151302190988
{'task_description': 6, 'ctr_description': 5, 'statement_description': 0, 'answer_description': 1}, 0.641701649776732
{'task_description': 5, 'ctr_description': 5, 'statement_description': 1, 'answer_description': 2}, 0.6350646346791395
{'task_description': 8, 'ctr_description': 5, 'statement_description': 0, 'answer_description': 1}, 0.6260697827518105
{'task_description': 5, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.6260150106303952
{'task_description': 6, 'ctr_description': 5, 'statement_description': 1, 'answer_description': 1}, 0.6159567275185936
{'task_description': 8, 'ctr_description': 7, 'statement_description': 1, 'answer_description': 1}, 0.6068255091609656
{'task_description': 4, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 3}, 0.6051386071670047
{'task_description': 6, 'ctr_description': 7, 'statement_description': 1, 'answer_description': 1}, 0.5985243055555556
{'task_description': 4, 'ctr_description': 5, 'statement_description': 1, 'answer_description': 3}, 0.5655080213903744
{'task_description': 4, 'ctr_description': 6, 'statement_description': 1, 'answer_description': 3}, 0.5583508036338225
{'task_description': 6, 'ctr_description': 7, 'statement_description': 1, 'answer_description': 3}, 0.5364088647670737
