{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.5082792736751681
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.49865603575850925
{'task_description': 2, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 2}, 0.38660209846650523
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 3}, 0.49643058147456975
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 4}, 0.4357366771159875
{'task_description': 4, 'ctr_description': 0, 'statement_description': 4, 'answer_description': 1}, 0.4813119755911518
{'task_description': 0, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 3}, 0.45436507936507936
{'task_description': 4, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 2}, 0.39673982800667434
{'task_description': 0, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 2}, 0.45114242545712435
{'task_description': 4, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.5614887180483472
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 2}, 0.4724573671942093
{'task_description': 2, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 1}, 0.39673982800667434
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 2}, 0.4419642857142857
{'task_description': 1, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 3}, 0.5208041140719962
{'task_description': 2, 'ctr_description': 2, 'statement_description': 4, 'answer_description': 4}, 0.4357366771159875
{'task_description': 4, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 0}, 0.5766488413547237
{'task_description': 4, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 2}, 0.39673982800667434
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 3}, 0.5245223210354847
{'task_description': 4, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 4}, 0.40671748907530864
{'task_description': 4, 'ctr_description': 1, 'statement_description': 3, 'answer_description': 4}, 0.4419642857142857
{'task_description': 4, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 3}, 0.532750713853076
{'task_description': 3, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 4}, 0.4479205005520795
{'task_description': 4, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 1}, 0.4880952380952381
{'task_description': 3, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 4}, 0.4038559107052258
{'task_description': 2, 'ctr_description': 0, 'statement_description': 4, 'answer_description': 2}, 0.42621141902329834
