{'task_description': 3, 'ctr_description': 8, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 2}, 0.7003174603174602
{'task_description': 3, 'ctr_description': 7, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 3}, 0.6482765551200884
{'task_description': 1, 'ctr_description': 3, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.6354166666666667
{'task_description': 0, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 2}, 0.6349908747718693
{'task_description': 0, 'ctr_description': 7, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.6254681647940075
{'task_description': 0, 'ctr_description': 8, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.6220651808133364
{'task_description': 0, 'ctr_description': 2, 'statement_description': 2, 'highlight_description': 2, 'answer_description': 2}, 0.6193910256410255
{'task_description': 3, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 2}, 0.6190476190476191
{'task_description': 0, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 3}, 0.6189887756152817
{'task_description': 0, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.6068255091609656
{'task_description': 3, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 2}, 0.6068152031454783
{'task_description': 3, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 2}, 0.6057682332192136
{'task_description': 1, 'ctr_description': 3, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 1}, 0.6051386071670047
{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 0}, 0.5981105978757275
{'task_description': 3, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 4, 'answer_description': 2}, 0.5969408846630839
{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 1}, 0.5966766153101557
{'task_description': 3, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 2}, 0.5904850982077403
{'task_description': 0, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 4, 'answer_description': 2}, 0.5901197281846619
{'task_description': 3, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 4}, 0.5789911380233373
{'task_description': 3, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 4, 'answer_description': 2}, 0.5626666666666666
{'task_description': 3, 'ctr_description': 8, 'statement_description': 0, 'highlight_description': 4, 'answer_description': 2}, 0.5543293718166383
{'task_description': 3, 'ctr_description': 8, 'statement_description': 0, 'highlight_description': 4, 'answer_description': 2}, 0.5543293718166383
{'task_description': 3, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 4}, 0.536553691018818
{'task_description': 0, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 4}, 0.5117062013312431
{'task_description': 0, 'ctr_description': 4, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 4}, 0.5098039215686274
