{'task_description': 2, 'doc_description': 1, 'highlight_description': 2, 'statement_description': 0, 'answer_description_2_labels': 2}, 0.9625407166123778
{'task_description': 0, 'doc_description': 2, 'highlight_description': 2, 'statement_description': 2, 'answer_description_2_labels': 1}, 0.9609120521172638
{'task_description': 2, 'doc_description': 2, 'highlight_description': 0, 'statement_description': 1, 'answer_description_2_labels': 2}, 0.9609120521172638
{'task_description': 1, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.9592833876221498
{'task_description': 3, 'doc_description': 1, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.9576547231270358
{'task_description': 5, 'doc_description': 0, 'highlight_description': 4, 'statement_description': 2, 'answer_description_2_labels': 4}, 0.9560260586319218
{'task_description': 4, 'doc_description': 0, 'highlight_description': 3, 'statement_description': 1, 'answer_description_2_labels': 5}, 0.9560260586319218
{'task_description': 5, 'doc_description': 0, 'highlight_description': 3, 'statement_description': 1, 'answer_description_2_labels': 5}, 0.9560260586319218
{'task_description': 1, 'doc_description': 0, 'highlight_description': 5, 'statement_description': 1, 'answer_description_2_labels': 2}, 0.9527687296416938
{'task_description': 5, 'doc_description': 3, 'highlight_description': 0, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.9511400651465798
{'task_description': 5, 'doc_description': 4, 'highlight_description': 3, 'statement_description': 4, 'answer_description_2_labels': 0}, 0.9495114006514658
{'task_description': 5, 'doc_description': 0, 'highlight_description': 0, 'statement_description': 1, 'answer_description_2_labels': 5}, 0.9429967426710097
{'task_description': 6, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 2}, 0.9413680781758957
{'task_description': 5, 'doc_description': 3, 'highlight_description': 1, 'statement_description': 4, 'answer_description_2_labels': 2}, 0.9397394136807817
{'task_description': 1, 'doc_description': 5, 'highlight_description': 1, 'statement_description': 2, 'answer_description_2_labels': 4}, 0.9397394136807817
{'task_description': 6, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 2, 'answer_description_2_labels': 5}, 0.9397394136807817
{'task_description': 4, 'doc_description': 5, 'highlight_description': 0, 'statement_description': 1, 'answer_description_2_labels': 4}, 0.9381107491856677
{'task_description': 6, 'doc_description': 4, 'highlight_description': 3, 'statement_description': 2, 'answer_description_2_labels': 4}, 0.9364820846905537
{'task_description': 6, 'doc_description': 0, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.9364820846905537
{'task_description': 6, 'doc_description': 3, 'highlight_description': 3, 'statement_description': 2, 'answer_description_2_labels': 2}, 0.9283387622149837
{'task_description': 6, 'doc_description': 4, 'highlight_description': 1, 'statement_description': 1, 'answer_description_2_labels': 4}, 0.9136807817589576
{'task_description': 7, 'doc_description': 3, 'highlight_description': 5, 'statement_description': 1, 'answer_description_2_labels': 0}, 0.9136807817589576
{'task_description': 1, 'doc_description': 0, 'highlight_description': 4, 'statement_description': 3, 'answer_description_2_labels': 2}, 0.9039087947882736
{'task_description': 7, 'doc_description': 3, 'highlight_description': 3, 'statement_description': 3, 'answer_description_2_labels': 3}, 0.8583061889250815
{'task_description': 7, 'doc_description': 3, 'highlight_description': 5, 'statement_description': 1, 'answer_description_2_labels': 3}, 0.8583061889250815
