{'task_description': 2, 'ctr_description': 1, 'statement_description': 3, 'answer_description': 6}, 0.5725902694901612
{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.5550674438906255
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 1}, 0.5212136944420409
{'task_description': 5, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 6}, 0.5208041140719962
{'task_description': 3, 'ctr_description': 1, 'statement_description': 2, 'answer_description': 2}, 0.5174632352941176
{'task_description': 4, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 6}, 0.5127821314314226
{'task_description': 3, 'ctr_description': 0, 'statement_description': 4, 'answer_description': 1}, 0.5091164095371669
{'task_description': 4, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 6}, 0.4974287050023375
{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.4938181818181818
{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.4938181818181818
{'task_description': 4, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.47964951104997156
{'task_description': 3, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.4779018941233608
{'task_description': 0, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 1}, 0.472733197073373
{'task_description': 2, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 5}, 0.45114242545712435
{'task_description': 0, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 3}, 0.4165398274987316
{'task_description': 0, 'ctr_description': 0, 'statement_description': 4, 'answer_description': 5}, 0.40671748907530864
{'task_description': 5, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 5}, 0.39673982800667434
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 3}, 0.39395872539950877
{'task_description': 3, 'ctr_description': 3, 'statement_description': 4, 'answer_description': 3}, 0.39395872539950877
{'task_description': 5, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 3}, 0.39395872539950877
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 3}, 0.39395872539950877
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 3}, 0.39395872539950877
{'task_description': 4, 'ctr_description': 1, 'statement_description': 3, 'answer_description': 5}, 0.38660209846650523
{'task_description': 5, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 4}, 0.3839045051983057
{'task_description': 5, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 4}, 0.36330561330561334
