{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7740453415681253
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.7642869680784372
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.7642869680784372
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7511111111111111
{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7497382466355116
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 2}, 0.7493734335839599
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.7448405253283302
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 2}, 0.7442262845106447
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 0}, 0.7402663543072496
{'task_description': 3, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 0}, 0.72
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 2}, 0.6999699969997
{'task_description': 1, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 2}, 0.6949313595559001
{'task_description': 3, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 2}, 0.6930946291560103
{'task_description': 1, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 0}, 0.6798719487795117
{'task_description': 3, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.6794871794871795
{'task_description': 1, 'ctr_description': 1, 'statement_description': 2, 'answer_description': 0}, 0.674601386698706
{'task_description': 3, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 0}, 0.65996599659966
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.6572235104345197
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.6572235104345197
{'task_description': 1, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 0}, 0.656753502907349
{'task_description': 4, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.6560027519779841
{'task_description': 4, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 0}, 0.6224786970121885
{'task_description': 4, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 0}, 0.6178622120318812
{'task_description': 4, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 0}, 0.6178622120318812
{'task_description': 4, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 0}, 0.6161427533976553
