{'task_description': 3, 'ctr_description': 1, 'statement_description': 5, 'highlight_description': 1, 'answer_description': 2}, 0.6318335545186009
{'task_description': 4, 'ctr_description': 2, 'statement_description': 3, 'highlight_description': 1, 'answer_description': 1}, 0.6307692307692307
{'task_description': 3, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 1}, 0.6182477572055736
{'task_description': 2, 'ctr_description': 2, 'statement_description': 4, 'highlight_description': 1, 'answer_description': 2}, 0.6101364522417154
{'task_description': 2, 'ctr_description': 0, 'statement_description': 5, 'highlight_description': 1, 'answer_description': 2}, 0.6062167483557455
{'task_description': 3, 'ctr_description': 0, 'statement_description': 3, 'highlight_description': 1, 'answer_description': 2}, 0.6034624498283282
{'task_description': 4, 'ctr_description': 0, 'statement_description': 6, 'highlight_description': 1, 'answer_description': 1}, 0.6021220159151194
{'task_description': 3, 'ctr_description': 0, 'statement_description': 5, 'highlight_description': 2, 'answer_description': 2}, 0.6020560437738351
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.6010434248887525
{'task_description': 0, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 1}, 0.5991601450658522
{'task_description': 4, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 2}, 0.5991601450658522
{'task_description': 5, 'ctr_description': 1, 'statement_description': 5, 'highlight_description': 1, 'answer_description': 1}, 0.5966928816293607
{'task_description': 2, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 1}, 0.5966115369100444
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 1}, 0.59242507082857
{'task_description': 0, 'ctr_description': 2, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 3}, 0.5884233110031087
{'task_description': 2, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 1}, 0.585475045597745
{'task_description': 3, 'ctr_description': 0, 'statement_description': 6, 'highlight_description': 1, 'answer_description': 1}, 0.5805841133445859
{'task_description': 3, 'ctr_description': 2, 'statement_description': 6, 'highlight_description': 1, 'answer_description': 1}, 0.5800725329261309
{'task_description': 5, 'ctr_description': 1, 'statement_description': 6, 'highlight_description': 1, 'answer_description': 1}, 0.5800176834659593
{'task_description': 5, 'ctr_description': 0, 'statement_description': 6, 'highlight_description': 1, 'answer_description': 1}, 0.5800176834659593
{'task_description': 2, 'ctr_description': 1, 'statement_description': 6, 'highlight_description': 2, 'answer_description': 2}, 0.5775058275058275
{'task_description': 0, 'ctr_description': 0, 'statement_description': 6, 'highlight_description': 2, 'answer_description': 1}, 0.5742869306087697
{'task_description': 3, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 3}, 0.5683122847301951
{'task_description': 0, 'ctr_description': 2, 'statement_description': 6, 'highlight_description': 1, 'answer_description': 1}, 0.563953488372093
{'task_description': 5, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 1}, 0.5393338058114813
