{'task_description': 0, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 3, 'answer_description': 0}, 0.6453445041247976
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 1}, 0.6366030283080975
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'highlight_description': 3, 'answer_description': 0}, 0.632198402690206
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.6310763888888888
{'task_description': 5, 'ctr_description': 0, 'statement_description': 5, 'highlight_description': 4, 'answer_description': 0}, 0.6286078098471987
{'task_description': 2, 'ctr_description': 3, 'statement_description': 1, 'highlight_description': 2, 'answer_description': 0}, 0.6220651808133364
{'task_description': 0, 'ctr_description': 6, 'statement_description': 4, 'highlight_description': 1, 'answer_description': 0}, 0.6136646291445054
{'task_description': 5, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 0}, 0.6129302228266555
{'task_description': 0, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 4, 'answer_description': 0}, 0.6112531969309463
{'task_description': 6, 'ctr_description': 5, 'statement_description': 3, 'highlight_description': 2, 'answer_description': 0}, 0.6096152303537528
{'task_description': 5, 'ctr_description': 5, 'statement_description': 4, 'highlight_description': 1, 'answer_description': 0}, 0.6069439895185064
{'task_description': 6, 'ctr_description': 4, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 0}, 0.5966766153101557
{'task_description': 5, 'ctr_description': 4, 'statement_description': 3, 'highlight_description': 2, 'answer_description': 2}, 0.5906626839252129
{'task_description': 5, 'ctr_description': 6, 'statement_description': 3, 'highlight_description': 1, 'answer_description': 0}, 0.5906626839252129
{'task_description': 4, 'ctr_description': 6, 'statement_description': 4, 'highlight_description': 1, 'answer_description': 0}, 0.5783017059612805
{'task_description': 4, 'ctr_description': 6, 'statement_description': 4, 'highlight_description': 1, 'answer_description': 0}, 0.5783017059612805
{'task_description': 5, 'ctr_description': 4, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 2}, 0.5755120041897517
{'task_description': 0, 'ctr_description': 4, 'statement_description': 4, 'highlight_description': 2, 'answer_description': 2}, 0.5714285714285714
{'task_description': 4, 'ctr_description': 0, 'statement_description': 4, 'highlight_description': 1, 'answer_description': 0}, 0.5655080213903744
{'task_description': 3, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 4, 'answer_description': 2}, 0.5655080213903744
{'task_description': 0, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 1, 'answer_description': 2}, 0.5558247526751464
{'task_description': 4, 'ctr_description': 6, 'statement_description': 0, 'highlight_description': 2, 'answer_description': 2}, 0.5471698113207547
{'task_description': 5, 'ctr_description': 4, 'statement_description': 3, 'highlight_description': 1, 'answer_description': 2}, 0.544179523141655
{'task_description': 4, 'ctr_description': 5, 'statement_description': 5, 'highlight_description': 1, 'answer_description': 2}, 0.5201279658757665
{'task_description': 3, 'ctr_description': 5, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 3}, 0.5170909090909092
