{'Contradiction': 0.4697986577181208, 'Entailment': 0.6648199445983379, 'NotMentioned': 0.5391923990498813}
{'Contradiction': 0.42168674698795183, 'Entailment': 0.6965174129353234, 'NotMentioned': 0.47293447293447294}
{'Contradiction': 0.4444444444444444, 'Entailment': 0.7049441786283892, 'NotMentioned': 0.431784107946027}
{'Contradiction': 0.4342105263157895, 'Entailment': 0.7022653721682848, 'NotMentioned': 0.446064139941691}
{'Contradiction': 0.4484848484848485, 'Entailment': 0.6990131578947368, 'NotMentioned': 0.4531024531024531}
{'Contradiction': 0.4114285714285714, 'Entailment': 0.7035573122529645, 'NotMentioned': 0.3722397476340694}
{'Contradiction': 0.2558139534883721, 'Entailment': 0.6917922948073701, 'NotMentioned': 0.4548022598870056}
{'Contradiction': 0.34375, 'Entailment': 0.6948738812042311, 'NotMentioned': 0.37059724349157736}
{'Contradiction': 0.3681592039800995, 'Entailment': 0.7015250544662309, 'NotMentioned': 0.14516129032258066}
{'Contradiction': 0.3191489361702128, 'Entailment': 0.6960926193921853, 'NotMentioned': 0.15079365079365079}
{'Contradiction': 0.37168141592920356, 'Entailment': 0.6971677559912854, 'NotMentioned': 0.09766454352441614}
{'Contradiction': 0.3274336283185841, 'Entailment': 0.6688524590163935, 'NotMentioned': 0.3184713375796178}
{'Contradiction': 0.39655172413793105, 'Entailment': 0.6971014492753623, 'NotMentioned': 0.06493506493506493}
{'Contradiction': 0.3948497854077253, 'Entailment': 0.6918604651162791, 'NotMentioned': 0.08602150537634409}
{'Contradiction': 0.296028880866426, 'Entailment': 0.6920031670625495, 'NotMentioned': 0.20973782771535582}
{'Contradiction': 0.38016528925619836, 'Entailment': 0.6885485047410649, 'NotMentioned': 0.05639913232104121}
{'Contradiction': 0.3490909090909091, 'Entailment': 0.6967455621301775, 'NotMentioned': 0.026845637583892617}
{'Contradiction': 0.3508771929824561, 'Entailment': 0.6868537666174298, 'NotMentioned': 0.004597701149425287}
{'Contradiction': 0.3411371237458194, 'Entailment': 0.6791885800150262, 'NotMentioned': 0.02702702702702703}
{'Contradiction': 0.3231197771587744, 'Entailment': 0.6855791962174941, 'NotMentioned': 0.026905829596412557}
{'Contradiction': 0.31309904153354634, 'Entailment': 0.6707224334600761, 'NotMentioned': 0.026905829596412557}
{'Contradiction': 0.2697947214076246, 'Entailment': 0.6470078057241977, 'NotMentioned': 0.25517241379310346}
{'Contradiction': 0.3081395348837209, 'Entailment': 0.6749418153607447, 'NotMentioned': 0.018140589569160998}
{'Contradiction': 0.27319587628865977, 'Entailment': 0.6741935483870968, 'NotMentioned': 0.026905829596412557}
{'Contradiction': 0.2576419213973799, 'Entailment': 0.6649572649572649, 'NotMentioned': 0.026905829596412557}
