{'Contradiction': 0.3187250996015936, 'Entailment': 0.6532663316582915, 'NotMentioned': 0.397456279809221}
{'Contradiction': 0.02040816326530612, 'Entailment': 0.6777685262281432, 'NotMentioned': 0.4645161290322581}
{'Contradiction': 0.2824207492795389, 'Entailment': 0.617828773168579, 'NotMentioned': 0.35353535353535354}
{'Contradiction': 0.05405405405405406, 'Entailment': 0.6705394190871369, 'NotMentioned': 0.44063324538258575}
{'Contradiction': 0.4393063583815029, 'Entailment': 0.6833463643471462, 'NotMentioned': 0.38263665594855306}
{'Contradiction': 0.41830065359477125, 'Entailment': 0.6752205292702486, 'NotMentioned': 0.4035608308605341}
{'Contradiction': 0.18604651162790697, 'Entailment': 0.6985121378230227, 'NotMentioned': 0.4221556886227545}
{'Contradiction': 0.125, 'Entailment': 0.6878980891719745, 'NotMentioned': 0.42433234421364985}
{'Contradiction': 0.03571428571428571, 'Entailment': 0.6549295774647887, 'NotMentioned': 0.4891041162227603}
{'Contradiction': 0.192, 'Entailment': 0.6938110749185668, 'NotMentioned': 0.4549237170596394}
{'Contradiction': 0.225, 'Entailment': 0.6868686868686869, 'NotMentioned': 0.3508771929824561}
{'Contradiction': 0.09523809523809523, 'Entailment': 0.6891151135473766, 'NotMentioned': 0.38748137108792846}
{'Contradiction': 0.05405405405405406, 'Entailment': 0.6332737030411449, 'NotMentioned': 0.4628712871287129}
{'Contradiction': 0.45751633986928103, 'Entailment': 0.6819620253164557, 'NotMentioned': 0.395738203957382}
{'Contradiction': 0.3517915309446254, 'Entailment': 0.6552006552006552, 'NotMentioned': 0.2857142857142857}
{'Contradiction': 0.2, 'Entailment': 0.6688632619439868, 'NotMentioned': 0.4309859154929577}
{'Contradiction': 0.1509433962264151, 'Entailment': 0.6761565836298933, 'NotMentioned': 0.5183312262958281}
{'Contradiction': 0.4260355029585799, 'Entailment': 0.6804780876494024, 'NotMentioned': 0.39692307692307693}
{'Contradiction': 0.01904761904761905, 'Entailment': 0.66723259762309, 'NotMentioned': 0.45764854614412137}
{'Contradiction': 0.16666666666666666, 'Entailment': 0.6931732933233309, 'NotMentioned': 0.186219739292365}
{'Contradiction': 0.3089430894308943, 'Entailment': 0.6560402684563759, 'NotMentioned': 0.389937106918239}
{'Contradiction': 0.018518518518518517, 'Entailment': 0.6746370623398804, 'NotMentioned': 0.48553459119496856}
{'Contradiction': 0.2776203966005666, 'Entailment': 0.632404181184669, 'NotMentioned': 0.32111692844677137}
{'Contradiction': 0.2222222222222222, 'Entailment': 0.6814024390243902, 'NotMentioned': 0.33798449612403103}
{'Contradiction': 0.13333333333333333, 'Entailment': 0.6610738255033557, 'NotMentioned': 0.4356955380577428}
