{'task_description': 3, 'doc_description': 3, 'answer_description': 0}, 0.21498819605196684
{'task_description': 3, 'doc_description': 2, 'answer_description': 0}, 0.2124234252806791
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.2076010984754625
{'task_description': 2, 'doc_description': 4, 'answer_description': 0}, 0.20648086739451316
{'task_description': 2, 'doc_description': 3, 'answer_description': 1}, 0.20603132727719625
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.20464436622771026
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.204050447891368
{'task_description': 3, 'doc_description': 4, 'answer_description': 0}, 0.2032385256615041
{'task_description': 2, 'doc_description': 4, 'answer_description': 0}, 0.20117741687281063
{'task_description': 1, 'doc_description': 1, 'answer_description': 0}, 0.1996947827926477
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.19937224919373142
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.19934712882191824
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.19728344754907373
{'task_description': 2, 'doc_description': 4, 'answer_description': 1}, 0.19720542606343316
{'task_description': 2, 'doc_description': 4, 'answer_description': 1}, 0.19259652330505428
{'task_description': 2, 'doc_description': 0, 'answer_description': 0}, 0.18919056775497745
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.18802712546380762
{'task_description': 0, 'doc_description': 4, 'answer_description': 1}, 0.18646346799462687
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.18202464049539044
{'task_description': 2, 'doc_description': 0, 'answer_description': 1}, 0.18004090419194363
{'task_description': 2, 'doc_description': 2, 'answer_description': 2}, 0.17736921870533662
{'task_description': 3, 'doc_description': 3, 'answer_description': 2}, 0.17595491559416243
{'task_description': 3, 'doc_description': 4, 'answer_description': 2}, 0.17496803938478211
{'task_description': 3, 'doc_description': 3, 'answer_description': 2}, 0.16943568030326883
{'task_description': 2, 'doc_description': 2, 'answer_description': 2}, 0.16719483102211127
