{'task_description': 4, 'doc_description': 0, 'answer_description': 0}, 0.23394082564583757
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.2299265125963395
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.22760262286045813
{'task_description': 1, 'doc_description': 0, 'answer_description': 1}, 0.2261274787175582
{'task_description': 2, 'doc_description': 0, 'answer_description': 2}, 0.22564578526784312
{'task_description': 2, 'doc_description': 1, 'answer_description': 1}, 0.224726677822411
{'task_description': 5, 'doc_description': 0, 'answer_description': 0}, 0.22222541801381696
{'task_description': 3, 'doc_description': 4, 'answer_description': 0}, 0.21982302767979622
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.21878963770428145
{'task_description': 3, 'doc_description': 3, 'answer_description': 0}, 0.21394017581998193
{'task_description': 2, 'doc_description': 1, 'answer_description': 0}, 0.21330730353907304
{'task_description': 5, 'doc_description': 3, 'answer_description': 0}, 0.2094082813968501
{'task_description': 6, 'doc_description': 4, 'answer_description': 4}, 0.20892079050377682
{'task_description': 2, 'doc_description': 1, 'answer_description': 3}, 0.20875827400882735
{'task_description': 6, 'doc_description': 4, 'answer_description': 4}, 0.20869428715501748
{'task_description': 5, 'doc_description': 2, 'answer_description': 3}, 0.20597754958709522
{'task_description': 3, 'doc_description': 3, 'answer_description': 3}, 0.20573779729368677
{'task_description': 6, 'doc_description': 2, 'answer_description': 4}, 0.2056854413178974
{'task_description': 2, 'doc_description': 4, 'answer_description': 0}, 0.20395210054936966
{'task_description': 2, 'doc_description': 3, 'answer_description': 0}, 0.20087562820330893
{'task_description': 6, 'doc_description': 1, 'answer_description': 3}, 0.20082675052668197
{'task_description': 6, 'doc_description': 1, 'answer_description': 3}, 0.19842034132578554
{'task_description': 3, 'doc_description': 2, 'answer_description': 5}, 0.16946232547792278
{'task_description': 5, 'doc_description': 2, 'answer_description': 5}, 0.167202923404846
{'task_description': 5, 'doc_description': 2, 'answer_description': 5}, 0.16064660199851305
