{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.23634626234059003
{'task_description': 1, 'doc_description': 0, 'answer_description': 0}, 0.23166094100804252
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.229560172768404
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.2293846871995378
{'task_description': 0, 'doc_description': 1, 'answer_description': 0}, 0.2290639512208112
{'task_description': 0, 'doc_description': 0, 'answer_description': 0}, 0.22215939056689515
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.2189918963909773
{'task_description': 0, 'doc_description': 3, 'answer_description': 0}, 0.21861187778427998
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.21788383725788701
{'task_description': 0, 'doc_description': 4, 'answer_description': 0}, 0.21659565685110108
{'task_description': 0, 'doc_description': 3, 'answer_description': 0}, 0.21597911551977061
{'task_description': 0, 'doc_description': 5, 'answer_description': 0}, 0.21509492250906048
{'task_description': 0, 'doc_description': 2, 'answer_description': 0}, 0.2135387288278578
{'task_description': 0, 'doc_description': 3, 'answer_description': 0}, 0.2133691084589917
{'task_description': 2, 'doc_description': 0, 'answer_description': 2}, 0.21179509744880992
{'task_description': 0, 'doc_description': 4, 'answer_description': 0}, 0.21176947185317785
{'task_description': 2, 'doc_description': 5, 'answer_description': 0}, 0.21085500153734776
{'task_description': 2, 'doc_description': 4, 'answer_description': 0}, 0.2101690878990368
{'task_description': 0, 'doc_description': 5, 'answer_description': 0}, 0.21007378820966222
{'task_description': 2, 'doc_description': 4, 'answer_description': 0}, 0.20915512952006304
{'task_description': 2, 'doc_description': 5, 'answer_description': 2}, 0.2040425779847383
{'task_description': 2, 'doc_description': 2, 'answer_description': 0}, 0.20362660121647314
{'task_description': 2, 'doc_description': 2, 'answer_description': 2}, 0.20040324218994096
{'task_description': 0, 'doc_description': 0, 'answer_description': 1}, 0.19304717126125615
{'task_description': 0, 'doc_description': 2, 'answer_description': 1}, 0.19178917695331882
