{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 3}, 0.19975308861888336
{'task_description': 4, 'doc_description': 3, 'answer_description': 0, 'example_description': 6}, 0.1983954171585281
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.19765897639304575
{'task_description': 2, 'doc_description': 2, 'answer_description': 1, 'example_description': 3}, 0.19674120656007943
{'task_description': 2, 'doc_description': 1, 'answer_description': 0, 'example_description': 2}, 0.1963512210373419
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.19555705886385205
{'task_description': 4, 'doc_description': 4, 'answer_description': 1, 'example_description': 2}, 0.18922053751522028
{'task_description': 2, 'doc_description': 3, 'answer_description': 3, 'example_description': 5}, 0.18523114737141133
{'task_description': 3, 'doc_description': 3, 'answer_description': 1, 'example_description': 0}, 0.18281766949636194
{'task_description': 5, 'doc_description': 0, 'answer_description': 0, 'example_description': 6}, 0.1822434173219962
{'task_description': 3, 'doc_description': 4, 'answer_description': 3, 'example_description': 5}, 0.18071001901787553
{'task_description': 3, 'doc_description': 0, 'answer_description': 1, 'example_description': 2}, 0.18012026734652622
{'task_description': 2, 'doc_description': 5, 'answer_description': 4, 'example_description': 0}, 0.1800283543127575
{'task_description': 1, 'doc_description': 4, 'answer_description': 1, 'example_description': 0}, 0.17986704236716475
{'task_description': 5, 'doc_description': 3, 'answer_description': 4, 'example_description': 0}, 0.17967960535549077
{'task_description': 5, 'doc_description': 0, 'answer_description': 2, 'example_description': 5}, 0.17871605991118106
{'task_description': 2, 'doc_description': 0, 'answer_description': 4, 'example_description': 2}, 0.17841576876083862
{'task_description': 5, 'doc_description': 4, 'answer_description': 0, 'example_description': 4}, 0.17774701851123625
{'task_description': 1, 'doc_description': 4, 'answer_description': 0, 'example_description': 6}, 0.17772592366850043
{'task_description': 5, 'doc_description': 0, 'answer_description': 1, 'example_description': 4}, 0.1774004498260499
{'task_description': 2, 'doc_description': 0, 'answer_description': 4, 'example_description': 4}, 0.177286684292224
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.17595085494365725
{'task_description': 1, 'doc_description': 3, 'answer_description': 3, 'example_description': 2}, 0.17263819653209872
{'task_description': 5, 'doc_description': 0, 'answer_description': 4, 'example_description': 5}, 0.17180716921846323
{'task_description': 4, 'doc_description': 3, 'answer_description': 2, 'example_description': 6}, 0.16952758770990037
