{'doc_description': 2, 'answer_description': 1, 'task_description': 0, 'example_description': 2}, 0.22239927416784655
{'doc_description': 2, 'answer_description': 0, 'task_description': 0, 'example_description': 2}, 0.22110761855893046
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 1}, 0.218834993262631
{'doc_description': 2, 'answer_description': 0, 'task_description': 0, 'example_description': 2}, 0.21665317937700063
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.2165613875758064
{'doc_description': 1, 'answer_description': 1, 'task_description': 0, 'example_description': 3}, 0.20175486633772505
{'doc_description': 4, 'answer_description': 2, 'task_description': 4, 'example_description': 3}, 0.2006169941150452
{'doc_description': 1, 'answer_description': 1, 'task_description': 1, 'example_description': 2}, 0.19911651270767106
{'doc_description': 4, 'answer_description': 2, 'task_description': 2, 'example_description': 2}, 0.1984188768867396
{'doc_description': 3, 'answer_description': 0, 'task_description': 2, 'example_description': 4}, 0.19708410231499104
{'doc_description': 1, 'answer_description': 3, 'task_description': 0, 'example_description': 2}, 0.19594883080369604
{'doc_description': 1, 'answer_description': 1, 'task_description': 4, 'example_description': 2}, 0.19554789260611768
{'doc_description': 1, 'answer_description': 1, 'task_description': 4, 'example_description': 2}, 0.19198229536932232
{'doc_description': 4, 'answer_description': 1, 'task_description': 4, 'example_description': 2}, 0.19071455162062176
{'doc_description': 2, 'answer_description': 1, 'task_description': 4, 'example_description': 2}, 0.1882951290751907
{'doc_description': 2, 'answer_description': 1, 'task_description': 3, 'example_description': 2}, 0.1872195563788206
{'doc_description': 1, 'answer_description': 1, 'task_description': 4, 'example_description': 3}, 0.18719450311392558
{'doc_description': 4, 'answer_description': 3, 'task_description': 3, 'example_description': 2}, 0.18669484930741492
{'doc_description': 1, 'answer_description': 2, 'task_description': 1, 'example_description': 2}, 0.1863672987973175
{'doc_description': 2, 'answer_description': 1, 'task_description': 3, 'example_description': 3}, 0.18161098832716113
{'doc_description': 1, 'answer_description': 2, 'task_description': 3, 'example_description': 4}, 0.1812614222530035
{'doc_description': 2, 'answer_description': 1, 'task_description': 2, 'example_description': 2}, 0.18023845987799175
{'doc_description': 2, 'answer_description': 2, 'task_description': 3, 'example_description': 4}, 0.17986236454945065
{'doc_description': 4, 'answer_description': 1, 'task_description': 3, 'example_description': 3}, 0.17755916715411907
{'doc_description': 2, 'answer_description': 3, 'task_description': 3, 'example_description': 2}, 0.17221194221740543
