{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 3}, 0.23142724478843263
{'task_description': 2, 'doc_description': 0, 'answer_description': 1, 'example_description': 1}, 0.22851652813219575
{'task_description': 1, 'doc_description': 2, 'answer_description': 1, 'example_description': 0}, 0.22620956847070323
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 2}, 0.2247534269801852
{'task_description': 2, 'doc_description': 5, 'answer_description': 0, 'example_description': 6}, 0.22465485943997582
{'task_description': 2, 'doc_description': 5, 'answer_description': 0, 'example_description': 2}, 0.22413006965979826
{'task_description': 1, 'doc_description': 0, 'answer_description': 1, 'example_description': 1}, 0.22309280442335444
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.21705174857802212
{'task_description': 3, 'doc_description': 4, 'answer_description': 0, 'example_description': 5}, 0.2153931494923095
{'task_description': 3, 'doc_description': 0, 'answer_description': 0, 'example_description': 6}, 0.2109916126902907
{'task_description': 4, 'doc_description': 5, 'answer_description': 0, 'example_description': 4}, 0.20278290021357886
{'task_description': 2, 'doc_description': 4, 'answer_description': 1, 'example_description': 6}, 0.18695745088071247
{'task_description': 2, 'doc_description': 5, 'answer_description': 1, 'example_description': 7}, 0.17616892363101633
{'task_description': 1, 'doc_description': 5, 'answer_description': 1, 'example_description': 7}, 0.17582858615381963
{'task_description': 1, 'doc_description': 5, 'answer_description': 1, 'example_description': 2}, 0.1731637964192505
{'task_description': 1, 'doc_description': 5, 'answer_description': 2, 'example_description': 7}, 0.16561882762366786
{'task_description': 1, 'doc_description': 5, 'answer_description': 1, 'example_description': 7}, 0.16556554365777595
{'task_description': 1, 'doc_description': 4, 'answer_description': 2, 'example_description': 4}, 0.15932227307082955
{'task_description': 3, 'doc_description': 4, 'answer_description': 1, 'example_description': 6}, 0.1586513195485258
{'task_description': 3, 'doc_description': 5, 'answer_description': 1, 'example_description': 7}, 0.15265128094193817
{'task_description': 3, 'doc_description': 0, 'answer_description': 1, 'example_description': 5}, 0.1494700345127919
{'task_description': 4, 'doc_description': 0, 'answer_description': 2, 'example_description': 4}, 0.14655223073862475
{'task_description': 4, 'doc_description': 5, 'answer_description': 1, 'example_description': 6}, 0.12781290829694647
{'task_description': 4, 'doc_description': 3, 'answer_description': 1, 'example_description': 5}, 0.12695806108809
{'task_description': 3, 'doc_description': 3, 'answer_description': 1, 'example_description': 6}, 0.12402739145501623
