{'task_description': 0, 'doc_description': 2, 'answer_description': 1, 'example_description': 4}, 0.18854377550613982
{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 0}, 0.18188154265664935
{'task_description': 0, 'doc_description': 4, 'answer_description': 1, 'example_description': 4}, 0.18182836524558776
{'task_description': 0, 'doc_description': 4, 'answer_description': 0, 'example_description': 4}, 0.181003572141806
{'task_description': 0, 'doc_description': 1, 'answer_description': 1, 'example_description': 3}, 0.17944378017193752
{'task_description': 2, 'doc_description': 4, 'answer_description': 1, 'example_description': 4}, 0.17867727512932224
{'task_description': 0, 'doc_description': 3, 'answer_description': 1, 'example_description': 4}, 0.177797592143766
{'task_description': 0, 'doc_description': 0, 'answer_description': 1, 'example_description': 0}, 0.17764525232787595
{'task_description': 2, 'doc_description': 4, 'answer_description': 1, 'example_description': 2}, 0.1776114648914926
{'task_description': 0, 'doc_description': 3, 'answer_description': 1, 'example_description': 4}, 0.17699186591361193
{'task_description': 0, 'doc_description': 0, 'answer_description': 1, 'example_description': 4}, 0.1756134807593584
{'task_description': 0, 'doc_description': 1, 'answer_description': 1, 'example_description': 3}, 0.17550638603221458
{'task_description': 1, 'doc_description': 2, 'answer_description': 0, 'example_description': 0}, 0.17500624125788122
{'task_description': 2, 'doc_description': 0, 'answer_description': 1, 'example_description': 3}, 0.17424628782551904
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.1739698634751226
{'task_description': 0, 'doc_description': 3, 'answer_description': 1, 'example_description': 4}, 0.17320068995284943
{'task_description': 2, 'doc_description': 2, 'answer_description': 0, 'example_description': 1}, 0.17228611852016573
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.17054461400157428
{'task_description': 1, 'doc_description': 2, 'answer_description': 0, 'example_description': 1}, 0.17019139678155026
{'task_description': 1, 'doc_description': 0, 'answer_description': 1, 'example_description': 0}, 0.16752744230599442
{'task_description': 1, 'doc_description': 3, 'answer_description': 1, 'example_description': 4}, 0.16432007267000737
{'task_description': 2, 'doc_description': 3, 'answer_description': 0, 'example_description': 1}, 0.1639809477873812
{'task_description': 1, 'doc_description': 3, 'answer_description': 0, 'example_description': 4}, 0.1629143425748568
{'task_description': 2, 'doc_description': 3, 'answer_description': 0, 'example_description': 2}, 0.16194760902996325
{'task_description': 1, 'doc_description': 4, 'answer_description': 0, 'example_description': 1}, 0.1599156715539325
