{'task_description': 2, 'doc_description': 2, 'answer_description': 0, 'example_description': 3}, 0.22802753819985222
{'task_description': 0, 'doc_description': 1, 'answer_description': 1, 'example_description': 1}, 0.22111139673221947
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 2}, 0.22108301749356468
{'task_description': 2, 'doc_description': 2, 'answer_description': 0, 'example_description': 1}, 0.2205821586450782
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.21450642853328963
{'task_description': 1, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.21428909110434224
{'task_description': 0, 'doc_description': 2, 'answer_description': 0, 'example_description': 3}, 0.211818227271851
{'task_description': 0, 'doc_description': 2, 'answer_description': 1, 'example_description': 1}, 0.20992112628667292
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 0}, 0.20911229386447444
{'task_description': 0, 'doc_description': 1, 'answer_description': 1, 'example_description': 1}, 0.20888714321585508
{'task_description': 0, 'doc_description': 2, 'answer_description': 0, 'example_description': 1}, 0.20863012183120308
{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 3}, 0.20771172161088136
{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 1}, 0.20704055602647115
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.20698496358667315
{'task_description': 2, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.20579539046905274
{'task_description': 0, 'doc_description': 1, 'answer_description': 1, 'example_description': 1}, 0.20394296096025838
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 1}, 0.20362138826922854
{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 0}, 0.20269984408034236
{'task_description': 0, 'doc_description': 3, 'answer_description': 0, 'example_description': 3}, 0.20242728472495675
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 2}, 0.2006765014633392
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 1}, 0.20048747696368868
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 0}, 0.19611570945728027
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.19591161366454962
{'task_description': 0, 'doc_description': 1, 'answer_description': 0, 'example_description': 0}, 0.19378670518480814
{'task_description': 0, 'doc_description': 0, 'answer_description': 0, 'example_description': 1}, 0.19175634712173495
