{'dialog_description': 1, 'answer_description': 2, 'task_description': 2, 'example_description': 1}, 0.47187938705988297
{'dialog_description': 1, 'answer_description': 3, 'task_description': 0, 'example_description': 1}, 0.4591255452610485
{'dialog_description': 1, 'answer_description': 3, 'task_description': 3, 'example_description': 0}, 0.4509425149739972
{'dialog_description': 1, 'answer_description': 0, 'task_description': 1, 'example_description': 1}, 0.4481562141545202
{'dialog_description': 1, 'answer_description': 0, 'task_description': 0, 'example_description': 1}, 0.44647802189369534
{'dialog_description': 1, 'answer_description': 2, 'task_description': 0, 'example_description': 1}, 0.44232995637818645
{'dialog_description': 1, 'answer_description': 0, 'task_description': 1, 'example_description': 1}, 0.44155016024694993
{'dialog_description': 1, 'answer_description': 1, 'task_description': 3, 'example_description': 1}, 0.4388265572919774
{'dialog_description': 0, 'answer_description': 0, 'task_description': 0, 'example_description': 0}, 0.4378298242550424
{'dialog_description': 0, 'answer_description': 1, 'task_description': 0, 'example_description': 0}, 0.429454981786629
{'dialog_description': 0, 'answer_description': 1, 'task_description': 3, 'example_description': 1}, 0.4293821466101326
{'dialog_description': 0, 'answer_description': 0, 'task_description': 0, 'example_description': 1}, 0.4278243553427681
{'dialog_description': 0, 'answer_description': 1, 'task_description': 0, 'example_description': 1}, 0.4276151451357091
{'dialog_description': 0, 'answer_description': 1, 'task_description': 2, 'example_description': 0}, 0.4271323516982276
{'dialog_description': 0, 'answer_description': 2, 'task_description': 2, 'example_description': 0}, 0.425300406906599
{'dialog_description': 1, 'answer_description': 3, 'task_description': 0, 'example_description': 1}, 0.42329301260379526
{'dialog_description': 0, 'answer_description': 1, 'task_description': 2, 'example_description': 1}, 0.4227931115387697
{'dialog_description': 1, 'answer_description': 1, 'task_description': 0, 'example_description': 1}, 0.42078307324071784
{'dialog_description': 0, 'answer_description': 1, 'task_description': 0, 'example_description': 0}, 0.4181862636948904
{'dialog_description': 0, 'answer_description': 1, 'task_description': 0, 'example_description': 1}, 0.41481929417713237
{'dialog_description': 0, 'answer_description': 0, 'task_description': 1, 'example_description': 1}, 0.4144202976046465
{'dialog_description': 0, 'answer_description': 3, 'task_description': 2, 'example_description': 0}, 0.41140260104997606
{'dialog_description': 0, 'answer_description': 1, 'task_description': 0, 'example_description': 0}, 0.4065281560668328
{'dialog_description': 1, 'answer_description': 1, 'task_description': 0, 'example_description': 0}, 0.3978447281523688
{'dialog_description': 0, 'answer_description': 3, 'task_description': 1, 'example_description': 0}, 0.3974420099432441
