{'task_description': 0, 'example_description': 3, 'dialog_description': 0, 'answer_description': 1}, 0.43202174692291667
{'task_description': 1, 'example_description': 3, 'dialog_description': 3, 'answer_description': 1}, 0.427552333131473
{'task_description': 0, 'example_description': 3, 'dialog_description': 1, 'answer_description': 1}, 0.42339571025241063
{'task_description': 3, 'example_description': 1, 'dialog_description': 0, 'answer_description': 3}, 0.4182664265645132
{'task_description': 1, 'example_description': 3, 'dialog_description': 3, 'answer_description': 1}, 0.41718929705539465
{'task_description': 0, 'example_description': 1, 'dialog_description': 2, 'answer_description': 1}, 0.412232719856929
{'task_description': 1, 'example_description': 3, 'dialog_description': 0, 'answer_description': 4}, 0.40792244473137
{'task_description': 2, 'example_description': 0, 'dialog_description': 2, 'answer_description': 0}, 0.40708141982416723
{'task_description': 3, 'example_description': 2, 'dialog_description': 3, 'answer_description': 3}, 0.40545500382821265
{'task_description': 2, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.405133007189929
{'task_description': 2, 'example_description': 0, 'dialog_description': 3, 'answer_description': 4}, 0.40286704332226186
{'task_description': 3, 'example_description': 1, 'dialog_description': 1, 'answer_description': 0}, 0.40117424326494955
{'task_description': 0, 'example_description': 1, 'dialog_description': 1, 'answer_description': 3}, 0.3958247573766982
{'task_description': 3, 'example_description': 1, 'dialog_description': 1, 'answer_description': 0}, 0.3926776139153575
{'task_description': 1, 'example_description': 1, 'dialog_description': 1, 'answer_description': 4}, 0.38955479962454953
{'task_description': 3, 'example_description': 1, 'dialog_description': 1, 'answer_description': 3}, 0.38906009401063113
{'task_description': 3, 'example_description': 2, 'dialog_description': 0, 'answer_description': 4}, 0.3883947299826801
{'task_description': 2, 'example_description': 1, 'dialog_description': 0, 'answer_description': 2}, 0.3867012410284568
{'task_description': 1, 'example_description': 1, 'dialog_description': 0, 'answer_description': 2}, 0.3815026072418872
{'task_description': 2, 'example_description': 2, 'dialog_description': 1, 'answer_description': 4}, 0.37807455809067864
{'task_description': 2, 'example_description': 1, 'dialog_description': 0, 'answer_description': 2}, 0.3750495714996639
{'task_description': 2, 'example_description': 2, 'dialog_description': 2, 'answer_description': 4}, 0.3725492185394226
{'task_description': 2, 'example_description': 3, 'dialog_description': 1, 'answer_description': 2}, 0.3718210273901561
{'task_description': 3, 'example_description': 0, 'dialog_description': 1, 'answer_description': 2}, 0.35652463488843517
{'task_description': 2, 'example_description': 1, 'dialog_description': 1, 'answer_description': 2}, 0.3564958337973788
