{'dialog_description': 0, 'answer_description': 0, 'task_description': 2, 'example_description': 1}, 0.4915526515981484
{'dialog_description': 2, 'answer_description': 1, 'task_description': 2, 'example_description': 2}, 0.4828910387138613
{'dialog_description': 1, 'answer_description': 0, 'task_description': 0, 'example_description': 0}, 0.48046825524556225
{'dialog_description': 4, 'answer_description': 0, 'task_description': 1, 'example_description': 1}, 0.47890593493668715
{'dialog_description': 3, 'answer_description': 0, 'task_description': 3, 'example_description': 2}, 0.4785706047502055
{'dialog_description': 5, 'answer_description': 1, 'task_description': 5, 'example_description': 1}, 0.47617719761217464
{'dialog_description': 4, 'answer_description': 5, 'task_description': 5, 'example_description': 2}, 0.4689238442957791
{'dialog_description': 3, 'answer_description': 3, 'task_description': 4, 'example_description': 4}, 0.46675606469268804
{'dialog_description': 3, 'answer_description': 5, 'task_description': 0, 'example_description': 2}, 0.4665092004147254
{'dialog_description': 3, 'answer_description': 3, 'task_description': 4, 'example_description': 4}, 0.4623181768449388
{'dialog_description': 6, 'answer_description': 4, 'task_description': 1, 'example_description': 2}, 0.4615499818693265
{'dialog_description': 3, 'answer_description': 4, 'task_description': 1, 'example_description': 1}, 0.45985228043048265
{'dialog_description': 3, 'answer_description': 2, 'task_description': 6, 'example_description': 1}, 0.45633094149242565
{'dialog_description': 3, 'answer_description': 5, 'task_description': 4, 'example_description': 2}, 0.4557142839376164
{'dialog_description': 3, 'answer_description': 4, 'task_description': 1, 'example_description': 1}, 0.4496796073324254
{'dialog_description': 3, 'answer_description': 3, 'task_description': 4, 'example_description': 1}, 0.44768766459678105
{'dialog_description': 4, 'answer_description': 3, 'task_description': 1, 'example_description': 4}, 0.44413963710603943
{'dialog_description': 6, 'answer_description': 4, 'task_description': 0, 'example_description': 3}, 0.44411780739015505
{'dialog_description': 3, 'answer_description': 4, 'task_description': 0, 'example_description': 1}, 0.44402887261760543
{'dialog_description': 6, 'answer_description': 5, 'task_description': 0, 'example_description': 4}, 0.4418509301672972
{'dialog_description': 3, 'answer_description': 2, 'task_description': 5, 'example_description': 1}, 0.4410252836295108
{'dialog_description': 3, 'answer_description': 2, 'task_description': 4, 'example_description': 1}, 0.4407022691261723
{'dialog_description': 6, 'answer_description': 1, 'task_description': 1, 'example_description': 1}, 0.44012831541742736
{'dialog_description': 5, 'answer_description': 1, 'task_description': 4, 'example_description': 1}, 0.4352949302628286
{'dialog_description': 5, 'answer_description': 4, 'task_description': 0, 'example_description': 1}, 0.4162002669528884
