{'dialog_description': 1, 'answer_description': 0, 'task_description': 1, 'example_description': 0}, 0.5060772636558373
{'dialog_description': 0, 'answer_description': 0, 'task_description': 0, 'example_description': 0}, 0.49427446917529627
{'task_description': 1, 'example_description': 0, 'dialog_description': 0, 'answer_description': 0}, 0.49185703304141404
{'dialog_description': 2, 'answer_description': 0, 'task_description': 1, 'example_description': 2}, 0.48749332977218585
{'dialog_description': 2, 'answer_description': 1, 'task_description': 1, 'example_description': 0}, 0.4869757103808987
{'dialog_description': 3, 'answer_description': 0, 'task_description': 2, 'example_description': 1}, 0.48630508246146187
{'dialog_description': 2, 'answer_description': 0, 'task_description': 1, 'example_description': 2}, 0.4861398955071532
{'dialog_description': 0, 'answer_description': 0, 'task_description': 1, 'example_description': 0}, 0.47941787243652345
{'dialog_description': 4, 'answer_description': 0, 'task_description': 1, 'example_description': 0}, 0.4723844180715767
{'dialog_description': 4, 'answer_description': 0, 'task_description': 1, 'example_description': 2}, 0.4716082853485468
{'dialog_description': 5, 'answer_description': 0, 'task_description': 4, 'example_description': 2}, 0.47103225702034124
{'dialog_description': 1, 'answer_description': 0, 'task_description': 1, 'example_description': 0}, 0.46925904203925606
{'dialog_description': 5, 'answer_description': 0, 'task_description': 4, 'example_description': 5}, 0.4687728731670159
{'dialog_description': 5, 'answer_description': 0, 'task_description': 1, 'example_description': 4}, 0.4686807901099262
{'dialog_description': 0, 'answer_description': 0, 'task_description': 4, 'example_description': 3}, 0.4662229671653689
{'dialog_description': 4, 'answer_description': 0, 'task_description': 1, 'example_description': 4}, 0.4587048314692045
{'dialog_description': 0, 'answer_description': 0, 'task_description': 3, 'example_description': 4}, 0.4573490192643449
{'dialog_description': 1, 'answer_description': 0, 'task_description': 1, 'example_description': 3}, 0.4531634485183551
{'dialog_description': 5, 'answer_description': 1, 'task_description': 1, 'example_description': 4}, 0.45117888951329965
{'dialog_description': 4, 'answer_description': 0, 'task_description': 4, 'example_description': 4}, 0.4506831348371909
{'dialog_description': 1, 'answer_description': 0, 'task_description': 3, 'example_description': 3}, 0.4475903104185829
{'dialog_description': 1, 'answer_description': 2, 'task_description': 1, 'example_description': 4}, 0.4435423304998777
{'dialog_description': 0, 'answer_description': 2, 'task_description': 1, 'example_description': 4}, 0.4403064035225949
{'dialog_description': 4, 'answer_description': 1, 'task_description': 3, 'example_description': 3}, 0.43377001527588577
{'dialog_description': 4, 'answer_description': 2, 'task_description': 3, 'example_description': 5}, 0.4240237443829911
