{'dialog_description': 2, 'answer_description': 0, 'task_description': 3, 'example_description': 0}, 0.4339293830207186
{'dialog_description': 0, 'answer_description': 0, 'task_description': 2, 'example_description': 2}, 0.43044414219860927
{'dialog_description': 0, 'answer_description': 0, 'task_description': 3, 'example_description': 1}, 0.430157640146427
{'dialog_description': 2, 'answer_description': 0, 'task_description': 2, 'example_description': 1}, 0.4298853696314207
{'dialog_description': 2, 'answer_description': 0, 'task_description': 1, 'example_description': 0}, 0.4292129618983427
{'dialog_description': 1, 'answer_description': 0, 'task_description': 3, 'example_description': 0}, 0.4290467074270124
{'dialog_description': 2, 'answer_description': 0, 'task_description': 0, 'example_description': 1}, 0.4247715304517338
{'dialog_description': 2, 'answer_description': 0, 'task_description': 3, 'example_description': 2}, 0.42073771722800435
{'dialog_description': 2, 'answer_description': 0, 'task_description': 3, 'example_description': 0}, 0.42070312136871885
{'dialog_description': 2, 'answer_description': 0, 'task_description': 2, 'example_description': 2}, 0.4190655684068594
{'dialog_description': 0, 'answer_description': 2, 'task_description': 3, 'example_description': 0}, 0.41607490411406356
{'dialog_description': 2, 'answer_description': 2, 'task_description': 3, 'example_description': 0}, 0.41462272901470293
{'dialog_description': 0, 'answer_description': 2, 'task_description': 0, 'example_description': 1}, 0.3744361802019911
{'dialog_description': 1, 'answer_description': 1, 'task_description': 1, 'example_description': 0}, 0.34359022369429504
{'dialog_description': 2, 'answer_description': 3, 'task_description': 0, 'example_description': 0}, 0.3431640081400154
{'dialog_description': 2, 'answer_description': 1, 'task_description': 0, 'example_description': 1}, 0.3405558071805253
{'dialog_description': 2, 'answer_description': 3, 'task_description': 1, 'example_description': 0}, 0.3392586989256037
{'dialog_description': 0, 'answer_description': 3, 'task_description': 3, 'example_description': 0}, 0.3392134158462461
{'dialog_description': 1, 'answer_description': 3, 'task_description': 3, 'example_description': 0}, 0.3383449285621697
{'dialog_description': 0, 'answer_description': 1, 'task_description': 3, 'example_description': 0}, 0.33430311076419506
{'dialog_description': 2, 'answer_description': 3, 'task_description': 3, 'example_description': 0}, 0.3330254771466068
{'dialog_description': 2, 'answer_description': 3, 'task_description': 2, 'example_description': 2}, 0.33301102365961044
{'dialog_description': 1, 'answer_description': 3, 'task_description': 0, 'example_description': 0}, 0.33192131006742065
{'dialog_description': 2, 'answer_description': 1, 'task_description': 1, 'example_description': 0}, 0.3301328763386457
{'dialog_description': 0, 'answer_description': 3, 'task_description': 1, 'example_description': 1}, 0.31870373610002856
