{'task_description': 2, 'example_description': 2, 'dialog_description': 3, 'answer_description': 1}, 0.4178040604817944
{'task_description': 0, 'example_description': 3, 'dialog_description': 0, 'answer_description': 1}, 0.41027772078449776
{'task_description': 1, 'example_description': 1, 'dialog_description': 3, 'answer_description': 2}, 0.4070439197508063
{'task_description': 3, 'example_description': 1, 'dialog_description': 3, 'answer_description': 2}, 0.40696743807463465
{'task_description': 0, 'example_description': 1, 'dialog_description': 1, 'answer_description': 3}, 0.405551982857978
{'task_description': 2, 'example_description': 0, 'dialog_description': 0, 'answer_description': 2}, 0.4032076692756277
{'task_description': 3, 'example_description': 3, 'dialog_description': 3, 'answer_description': 2}, 0.40263648166243204
{'task_description': 3, 'example_description': 3, 'dialog_description': 3, 'answer_description': 3}, 0.3964691055792845
{'task_description': 1, 'example_description': 1, 'dialog_description': 2, 'answer_description': 2}, 0.39548230819540553
{'task_description': 1, 'example_description': 0, 'dialog_description': 1, 'answer_description': 0}, 0.3949164279493882
{'task_description': 0, 'example_description': 0, 'dialog_description': 0, 'answer_description': 2}, 0.394538380600733
{'task_description': 0, 'example_description': 3, 'dialog_description': 0, 'answer_description': 3}, 0.39355735229572764
{'task_description': 3, 'example_description': 1, 'dialog_description': 3, 'answer_description': 1}, 0.3881357606883943
{'task_description': 1, 'example_description': 2, 'dialog_description': 2, 'answer_description': 0}, 0.38411071753067
{'task_description': 1, 'example_description': 2, 'dialog_description': 0, 'answer_description': 3}, 0.38016549532079735
{'task_description': 3, 'example_description': 0, 'dialog_description': 1, 'answer_description': 0}, 0.3788061851509809
{'task_description': 3, 'example_description': 2, 'dialog_description': 0, 'answer_description': 0}, 0.37800955638550693
{'task_description': 1, 'example_description': 1, 'dialog_description': 0, 'answer_description': 0}, 0.3779286938748132
{'task_description': 1, 'example_description': 3, 'dialog_description': 3, 'answer_description': 3}, 0.36982985135664576
{'task_description': 1, 'example_description': 0, 'dialog_description': 3, 'answer_description': 2}, 0.3665953154734277
{'task_description': 0, 'example_description': 3, 'dialog_description': 1, 'answer_description': 0}, 0.3626258514564948
{'task_description': 0, 'example_description': 3, 'dialog_description': 1, 'answer_description': 0}, 0.3626258514564948
{'task_description': 4, 'example_description': 3, 'dialog_description': 0, 'answer_description': 0}, 0.3592898474631402
{'task_description': 4, 'example_description': 3, 'dialog_description': 0, 'answer_description': 0}, 0.3592898474631402
{'task_description': 4, 'example_description': 2, 'dialog_description': 2, 'answer_description': 0}, 0.35112271396015676
