{'task_description': 5, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 3}, 0.7338756245135698
{'task_description': 0, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 0}, 0.7307936507936508
{'task_description': 2, 'ctr_description': 1, 'statement_description': 2, 'answer_description': 2}, 0.7295673076923077
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 2}, 0.7199719971997199
{'task_description': 4, 'ctr_description': 5, 'statement_description': 1, 'answer_description': 3}, 0.7198950879784065
{'task_description': 4, 'ctr_description': 5, 'statement_description': 1, 'answer_description': 3}, 0.7198950879784065
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.719551282051282
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 3}, 0.716570503087357
{'task_description': 4, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 3}, 0.7159090909090908
{'task_description': 4, 'ctr_description': 2, 'statement_description': 1, 'answer_description': 3}, 0.7124044501627185
{'task_description': 5, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 6}, 0.7092731829573935
{'task_description': 0, 'ctr_description': 2, 'statement_description': 4, 'answer_description': 3}, 0.7010463378176383
{'task_description': 4, 'ctr_description': 4, 'statement_description': 1, 'answer_description': 3}, 0.7010463378176383
{'task_description': 0, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 6}, 0.6999699969997
{'task_description': 0, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 6}, 0.6999699969997
{'task_description': 4, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 4}, 0.6949313595559001
{'task_description': 0, 'ctr_description': 6, 'statement_description': 1, 'answer_description': 5}, 0.6949313595559001
{'task_description': 2, 'ctr_description': 3, 'statement_description': 6, 'answer_description': 5}, 0.6895032051282051
{'task_description': 2, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 5}, 0.6843608306821314
{'task_description': 2, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 6}, 0.6827075621364358
{'task_description': 4, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 3}, 0.6783898744683059
{'task_description': 6, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 4}, 0.6749268585431722
{'task_description': 5, 'ctr_description': 2, 'statement_description': 5, 'answer_description': 6}, 0.6698412698412699
{'task_description': 4, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 4}, 0.6678743961352657
{'task_description': 2, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 4}, 0.6619490905421428
