[[125  25]
 [ 53  97]]
[[136  14]
 [ 70  80]]
[[119  31]
 [ 56  94]]
[[120  30]
 [ 58  92]]
[[120  30]
 [ 58  92]]
[[134  16]
 [ 70  80]]
[[119  31]
 [ 61  89]]
[[137  13]
 [ 90  60]]
[[130  20]
 [ 86  64]]
[[129  21]
 [ 86  64]]
[[145   5]
 [ 98  52]]
[[145   5]
 [ 99  51]]
[[144   6]
 [111  39]]
[[143   7]
 [111  39]]
[[145   5]
 [113  37]]
[[146   4]
 [118  32]]
[[147   3]
 [119  31]]
[[147   3]
 [121  29]]
[[146   4]
 [122  28]]
[[146   4]
 [124  26]]
[[148   2]
 [126  24]]
[[146   4]
 [128  22]]
[[148   2]
 [133  17]]
[[148   2]
 [134  16]]
[[149   1]
 [135  15]]
