{'Contradiction': 0.7621951219512195, 'Entailment': 0.7132352941176471}
{'Contradiction': 0.7640449438202247, 'Entailment': 0.6557377049180327}
{'Contradiction': 0.7323076923076923, 'Entailment': 0.6836363636363636}
{'Contradiction': 0.7317073170731707, 'Entailment': 0.6764705882352942}
{'Contradiction': 0.7317073170731707, 'Entailment': 0.6764705882352942}
{'Contradiction': 0.7570621468926554, 'Entailment': 0.6504065040650406}
{'Contradiction': 0.7212121212121212, 'Entailment': 0.6592592592592592}
{'Contradiction': 0.726790450928382, 'Entailment': 0.5381165919282511}
{'Contradiction': 0.7103825136612022, 'Entailment': 0.5470085470085471}
{'Contradiction': 0.7068493150684931, 'Entailment': 0.5446808510638298}
{'Contradiction': 0.7379134860050891, 'Entailment': 0.5024154589371981}
{'Contradiction': 0.7360406091370558, 'Entailment': 0.49514563106796117}
{'Contradiction': 0.7111111111111111, 'Entailment': 0.4}
{'Contradiction': 0.7079207920792079, 'Entailment': 0.3979591836734694}
{'Contradiction': 0.7107843137254902, 'Entailment': 0.3854166666666667}
{'Contradiction': 0.7053140096618358, 'Entailment': 0.34408602150537637}
{'Contradiction': 0.7067307692307693, 'Entailment': 0.33695652173913043}
{'Contradiction': 0.7033492822966507, 'Entailment': 0.31868131868131866}
{'Contradiction': 0.6985645933014354, 'Entailment': 0.3076923076923077}
{'Contradiction': 0.6952380952380952, 'Entailment': 0.28888888888888886}
{'Contradiction': 0.6981132075471698, 'Entailment': 0.2727272727272727}
{'Contradiction': 0.6886792452830188, 'Entailment': 0.25}
{'Contradiction': 0.6867749419953596, 'Entailment': 0.20118343195266272}
{'Contradiction': 0.6851851851851852, 'Entailment': 0.19047619047619047}
{'Contradiction': 0.6866359447004609, 'Entailment': 0.18072289156626506}
