{'task_description': 1, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 0}, 0.7199446637648885
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.7060264576188142
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 1}, 0.6995192307692308
{'task_description': 3, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 4}, 0.6973637015781922
{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 1}, 0.6965014285555469
{'task_description': 0, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 0}, 0.6954450629748212
{'task_description': 4, 'ctr_description': 5, 'statement_description': 0, 'answer_description': 4}, 0.6899965555172836
{'task_description': 3, 'ctr_description': 5, 'statement_description': 0, 'answer_description': 3}, 0.6898311302820425
{'task_description': 2, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 3}, 0.6830606006114008
{'task_description': 3, 'ctr_description': 5, 'statement_description': 1, 'answer_description': 3}, 0.6823132057384267
{'task_description': 3, 'ctr_description': 5, 'statement_description': 1, 'answer_description': 4}, 0.6803463475364238
{'task_description': 3, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 2}, 0.672706414279448
{'task_description': 2, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 2}, 0.6632148093841642
{'task_description': 4, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 5}, 0.660584064253789
{'task_description': 3, 'ctr_description': 3, 'statement_description': 1, 'answer_description': 3}, 0.6581331588270469
{'task_description': 3, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 5}, 0.6569254633770762
{'task_description': 4, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 3}, 0.6555606335900837
{'task_description': 0, 'ctr_description': 3, 'statement_description': 4, 'answer_description': 2}, 0.6502857142857142
{'task_description': 3, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 3}, 0.6451703745423825
{'task_description': 4, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 3}, 0.6426002517532818
{'task_description': 4, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 2}, 0.6412245308535727
{'task_description': 3, 'ctr_description': 4, 'statement_description': 1, 'answer_description': 4}, 0.6411932886058935
{'task_description': 3, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 5}, 0.6365447978351204
{'task_description': 2, 'ctr_description': 3, 'statement_description': 4, 'answer_description': 3}, 0.6279454319966928
{'task_description': 0, 'ctr_description': 3, 'statement_description': 4, 'answer_description': 5}, 0.6260215153054158
