{'Contradiction': 0.7545219638242894, 'Entailment': 0.5539906103286385}
{'Contradiction': 0.7338501291989664, 'Entailment': 0.5164319248826291}
{'Contradiction': 0.7360406091370558, 'Entailment': 0.49514563106796117}
{'Contradiction': 0.7360406091370558, 'Entailment': 0.49514563106796117}
{'Contradiction': 0.7168831168831169, 'Entailment': 0.4930232558139535}
{'Contradiction': 0.7336683417085427, 'Entailment': 0.4752475247524752}
{'Contradiction': 0.717948717948718, 'Entailment': 0.47619047619047616}
{'Contradiction': 0.7128205128205128, 'Entailment': 0.4666666666666667}
{'Contradiction': 0.7236180904522613, 'Entailment': 0.45544554455445546}
{'Contradiction': 0.7295285359801489, 'Entailment': 0.4467005076142132}
{'Contradiction': 0.7196029776674938, 'Entailment': 0.4263959390862944}
{'Contradiction': 0.7160493827160493, 'Entailment': 0.41025641025641024}
{'Contradiction': 0.7079207920792079, 'Entailment': 0.3979591836734694}
{'Contradiction': 0.711864406779661, 'Entailment': 0.36363636363636365}
{'Contradiction': 0.6861313868613139, 'Entailment': 0.31746031746031744}
{'Contradiction': 0.6948356807511737, 'Entailment': 0.25287356321839083}
{'Contradiction': 0.691764705882353, 'Entailment': 0.25142857142857145}
{'Contradiction': 0.6946386946386947, 'Entailment': 0.23391812865497075}
{'Contradiction': 0.6870588235294117, 'Entailment': 0.24}
{'Contradiction': 0.6944444444444444, 'Entailment': 0.21428571428571427}
{'Contradiction': 0.6867749419953596, 'Entailment': 0.20118343195266272}
{'Contradiction': 0.6867749419953596, 'Entailment': 0.20118343195266272}
{'Contradiction': 0.6851851851851852, 'Entailment': 0.19047619047619047}
{'Contradiction': 0.6851851851851852, 'Entailment': 0.19047619047619047}
{'Contradiction': 0.6820276497695853, 'Entailment': 0.1686746987951807}
