[[146   4]
 [ 91  59]]
[[137  13]
 [ 86  64]]
[[136  14]
 [ 88  62]]
[[140  10]
 [ 91  59]]
[[137  13]
 [ 90  60]]
[[138  12]
 [ 91  59]]
[[132  18]
 [ 87  63]]
[[137  13]
 [ 91  59]]
[[144   6]
 [ 96  54]]
[[142   8]
 [ 95  55]]
[[141   9]
 [ 95  55]]
[[139  11]
 [ 94  56]]
[[143   7]
 [ 97  53]]
[[140  10]
 [ 97  53]]
[[134  16]
 [ 94  56]]
[[140  10]
 [ 98  52]]
[[144   6]
 [102  48]]
[[144   6]
 [102  48]]
[[143   7]
 [103  47]]
[[140  10]
 [103  47]]
[[141   9]
 [104  46]]
[[144   6]
 [107  43]]
[[140  10]
 [105  45]]
[[144   6]
 [110  40]]
[[140  10]
 [111  39]]
