{'task_description': 7, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 2}, 0.7128739316239316
{'task_description': 5, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 3}, 0.7113269794721407
{'task_description': 5, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 5}, 0.6996647420376234
{'task_description': 3, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 2}, 0.6877828054298643
{'task_description': 5, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 2}, 0.6797240699679724
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.6686251468860165
{'task_description': 7, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 3}, 0.6673051718923279
{'task_description': 8, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 6}, 0.6645440742004967
{'task_description': 4, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 3}, 0.6623949290340361
{'task_description': 5, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 3}, 0.6606491527771365
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.6601791782514674
{'task_description': 2, 'ctr_description': 2, 'statement_description': 1, 'answer_description': 4}, 0.6596929050063735
{'task_description': 5, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 3}, 0.6586069756801465
{'task_description': 2, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 2}, 0.6467271710815858
{'task_description': 2, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 3}, 0.6421442997011964
{'task_description': 7, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 6}, 0.6411960132890366
{'task_description': 8, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 5}, 0.6392190152801358
{'task_description': 6, 'ctr_description': 1, 'statement_description': 2, 'answer_description': 3}, 0.6387241802479613
{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 2}, 0.6196172248803828
{'task_description': 5, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 3}, 0.612789025334661
{'task_description': 2, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 2}, 0.5778215592457079
{'task_description': 8, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 6}, 0.5707502374169041
{'task_description': 5, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 2}, 0.5707502374169041
{'task_description': 2, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 2}, 0.5193747964832303
{'task_description': 6, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 6}, 0.5110153004889847
