{'Contradiction': 0.6487341772151899, 'Entailment': 0.2974683544303797}
{'Contradiction': 0.6807228915662651, 'Entailment': 0.2535211267605634}
{'Contradiction': 0.663594470046083, 'Entailment': 0.26262626262626265}
{'Contradiction': 0.646875, 'Entailment': 0.2662337662337662}
{'Contradiction': 0.6469673405909798, 'Entailment': 0.25573770491803277}
{'Contradiction': 0.6469673405909798, 'Entailment': 0.25573770491803277}
{'Contradiction': 0.6606060606060606, 'Entailment': 0.2222222222222222}
{'Contradiction': 0.6503067484662577, 'Entailment': 0.22972972972972974}
{'Contradiction': 0.6451612903225806, 'Entailment': 0.2222222222222222}
{'Contradiction': 0.6545454545454545, 'Entailment': 0.20833333333333334}
{'Contradiction': 0.6576576576576577, 'Entailment': 0.19148936170212766}
{'Contradiction': 0.628482972136223, 'Entailment': 0.2052980132450331}
{'Contradiction': 0.628482972136223, 'Entailment': 0.2052980132450331}
{'Contradiction': 0.6242236024844721, 'Entailment': 0.20394736842105263}
{'Contradiction': 0.6371951219512195, 'Entailment': 0.18493150684931506}
{'Contradiction': 0.6110236220472441, 'Entailment': 0.2108626198083067}
{'Contradiction': 0.6351145038167939, 'Entailment': 0.18430034129692832}
{'Contradiction': 0.6486486486486487, 'Entailment': 0.1702127659574468}
{'Contradiction': 0.6362252663622526, 'Entailment': 0.17869415807560138}
{'Contradiction': 0.6393939393939394, 'Entailment': 0.1736111111111111}
{'Contradiction': 0.6425339366515838, 'Entailment': 0.16842105263157894}
{'Contradiction': 0.637329286798179, 'Entailment': 0.17301038062283736}
{'Contradiction': 0.6446776611694153, 'Entailment': 0.15658362989323843}
{'Contradiction': 0.624048706240487, 'Entailment': 0.15120274914089346}
{'Contradiction': 0.6210045662100456, 'Entailment': 0.14432989690721648}
