[[205  32]
 [190  47]]
[[199  38]
 [188  49]]
[[226  11]
 [201  36]]
[[213  24]
 [196  41]]
[[212  25]
 [196  41]]
[[209  28]
 [200  37]]
[[204  33]
 [198  39]]
[[209  28]
 [203  34]]
[[206  31]
 [202  35]]
[[206  31]
 [202  35]]
[[201  36]
 [200  37]]
[[212  25]
 [206  31]]
[[214  23]
 [207  30]]
[[211  26]
 [206  31]]
[[208  29]
 [205  32]]
[[211  26]
 [207  30]]
[[211  26]
 [207  30]]
[[208  29]
 [206  31]]
[[199  38]
 [205  32]]
[[201  36]
 [206  31]]
[[198  39]
 [205  32]]
[[207  30]
 [209  28]]
[[211  26]
 [211  26]]
[[204  33]
 [213  24]]
[[219  18]
 [219  18]]
