{'task_description': 0, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 6}, 0.44840106130428714
{'task_description': 0, 'ctr_description': 3, 'statement_description': 0, 'answer_description': 2}, 0.44063158654168233
{'task_description': 3, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 3}, 0.43877075397399423
{'task_description': 2, 'ctr_description': 1, 'statement_description': 0, 'answer_description': 1}, 0.435106118388327
{'task_description': 1, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 2}, 0.43364427208887957
{'task_description': 0, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 0}, 0.4328949868290654
{'task_description': 4, 'ctr_description': 7, 'statement_description': 0, 'answer_description': 2}, 0.4282632375992986
{'task_description': 4, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 6}, 0.42456790123456795
{'task_description': 0, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 4}, 0.42096140995656534
{'task_description': 4, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 4}, 0.4196913580246914
{'task_description': 3, 'ctr_description': 7, 'statement_description': 0, 'answer_description': 6}, 0.4187401739859553
{'task_description': 3, 'ctr_description': 4, 'statement_description': 0, 'answer_description': 2}, 0.4187401739859553
{'task_description': 1, 'ctr_description': 6, 'statement_description': 2, 'answer_description': 2}, 0.418211321225738
{'task_description': 4, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 4}, 0.41647727272727275
{'task_description': 3, 'ctr_description': 6, 'statement_description': 0, 'answer_description': 4}, 0.41647727272727275
{'task_description': 3, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 5}, 0.41464710939738947
{'task_description': 3, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 6}, 0.41283136626481887
{'task_description': 3, 'ctr_description': 6, 'statement_description': 0, 'answer_description': 2}, 0.4110633144002673
{'task_description': 1, 'ctr_description': 5, 'statement_description': 0, 'answer_description': 2}, 0.4045098249758402
{'task_description': 1, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 5}, 0.4028370065416669
{'task_description': 3, 'ctr_description': 4, 'statement_description': 2, 'answer_description': 6}, 0.4006306455313269
{'task_description': 0, 'ctr_description': 7, 'statement_description': 0, 'answer_description': 4}, 0.3967418971661293
{'task_description': 0, 'ctr_description': 7, 'statement_description': 2, 'answer_description': 6}, 0.3841511865134758
{'task_description': 4, 'ctr_description': 7, 'statement_description': 2, 'answer_description': 2}, 0.3839639450791321
{'task_description': 1, 'ctr_description': 5, 'statement_description': 0, 'answer_description': 6}, 0.3800895400895401
