{'self_A': 0, 'statement_description': 1, 'self_C': 2, 'answer_description': 1, 'task_description': 1, 'ctr_description': 0, 'self_B': 3}, 0.784865540963102
{'self_A': 0, 'statement_description': 1, 'self_C': 0, 'answer_description': 0, 'task_description': 1, 'ctr_description': 0, 'self_B': 0}, 0.7799119647859143
{'self_A': 0, 'statement_description': 2, 'self_C': 1, 'answer_description': 2, 'task_description': 2, 'ctr_description': 1, 'self_B': 1}, 0.7747240369452579
{'self_A': 0, 'statement_description': 2, 'self_C': 1, 'answer_description': 3, 'task_description': 3, 'ctr_description': 0, 'self_B': 0}, 0.7688674505074866
{'self_A': 0, 'statement_description': 0, 'self_C': 0, 'answer_description': 2, 'task_description': 0, 'ctr_description': 2, 'self_B': 2}, 0.7649941248531213
{'self_A': 0, 'statement_description': 2, 'self_C': 3, 'answer_description': 4, 'task_description': 1, 'ctr_description': 3, 'self_B': 4}, 0.7439180537772088
{'self_A': 0, 'statement_description': 2, 'self_C': 2, 'answer_description': 3, 'task_description': 1, 'ctr_description': 4, 'self_B': 3}, 0.7335009428032684
{'self_A': 0, 'statement_description': 1, 'self_C': 1, 'answer_description': 5, 'task_description': 5, 'ctr_description': 0, 'self_B': 0}, 0.7282608695652174
{'self_A': 0, 'statement_description': 1, 'self_C': 1, 'answer_description': 4, 'task_description': 5, 'ctr_description': 4, 'self_B': 3}, 0.7249931248281207
{'self_A': 0, 'statement_description': 3, 'self_C': 1, 'answer_description': 4, 'task_description': 1, 'ctr_description': 4, 'self_B': 5}, 0.72
{'self_A': 0, 'statement_description': 1, 'self_C': 3, 'answer_description': 5, 'task_description': 5, 'ctr_description': 0, 'self_B': 3}, 0.7189883580891208
{'self_A': 0, 'statement_description': 3, 'self_C': 2, 'answer_description': 3, 'task_description': 1, 'ctr_description': 2, 'self_B': 3}, 0.7186212440960708
{'self_A': 0, 'statement_description': 3, 'self_C': 1, 'answer_description': 1, 'task_description': 1, 'ctr_description': 0, 'self_B': 3}, 0.7149928748218706
{'self_A': 0, 'statement_description': 2, 'self_C': 1, 'answer_description': 4, 'task_description': 1, 'ctr_description': 4, 'self_B': 4}, 0.7149928748218706
{'self_A': 0, 'statement_description': 2, 'self_C': 2, 'answer_description': 3, 'task_description': 1, 'ctr_description': 3, 'self_B': 0}, 0.7137907659862921
{'self_A': 0, 'statement_description': 1, 'self_C': 1, 'answer_description': 5, 'task_description': 1, 'ctr_description': 0, 'self_B': 3}, 0.7118228468869283
{'self_A': 0, 'statement_description': 3, 'self_C': 2, 'answer_description': 5, 'task_description': 4, 'ctr_description': 4, 'self_B': 0}, 0.7088791848617175
{'self_A': 0, 'statement_description': 1, 'self_C': 3, 'answer_description': 2, 'task_description': 5, 'ctr_description': 4, 'self_B': 3}, 0.7042023663810689
{'self_A': 1, 'statement_description': 2, 'self_C': 2, 'answer_description': 3, 'task_description': 1, 'ctr_description': 3, 'self_B': 4}, 0.7028531137468208
{'self_A': 0, 'statement_description': 2, 'self_C': 1, 'answer_description': 2, 'task_description': 1, 'ctr_description': 3, 'self_B': 4}, 0.6997297567811029
{'self_A': 0, 'statement_description': 2, 'self_C': 1, 'answer_description': 1, 'task_description': 1, 'ctr_description': 4, 'self_B': 0}, 0.6948092557848655
{'self_A': 0, 'statement_description': 1, 'self_C': 1, 'answer_description': 2, 'task_description': 4, 'ctr_description': 2, 'self_B': 4}, 0.6849921248031201
{'self_A': 0, 'statement_description': 3, 'self_C': 2, 'answer_description': 4, 'task_description': 1, 'ctr_description': 4, 'self_B': 0}, 0.6659580929243851
{'self_A': 1, 'statement_description': 3, 'self_C': 2, 'answer_description': 4, 'task_description': 1, 'ctr_description': 4, 'self_B': 5}, 0.6518580186180276
{'self_A': 1, 'statement_description': 2, 'self_C': 3, 'answer_description': 1, 'task_description': 4, 'ctr_description': 2, 'self_B': 0}, 0.5789911380233373
