{'task_description': 3, 'ctr_description': 1, 'statement_description': 3, 'self_A': 2, 'self_B': 2, 'self_C': 3, 'answer_description': 3}, 0.7446872418712923
{'task_description': 2, 'ctr_description': 1, 'statement_description': 2, 'self_A': 2, 'self_B': 1, 'self_C': 2, 'answer_description': 1}, 0.7439180537772088
{'task_description': 3, 'ctr_description': 2, 'statement_description': 2, 'self_A': 3, 'self_B': 2, 'self_C': 4, 'answer_description': 2}, 0.7393483709273183
{'task_description': 0, 'ctr_description': 0, 'statement_description': 1, 'self_A': 1, 'self_B': 1, 'self_C': 0, 'answer_description': 0}, 0.7338756245135698
{'task_description': 1, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 1, 'answer_description': 1}, 0.7307936507936508
{'self_A': 5, 'statement_description': 0, 'self_C': 8, 'answer_description': 2, 'task_description': 4, 'ctr_description': 0, 'self_B': 0}, 0.72997299729973
{'self_A': 5, 'statement_description': 1, 'self_C': 7, 'answer_description': 2, 'task_description': 5, 'ctr_description': 0, 'self_B': 3}, 0.7256089668918744
{'self_A': 5, 'statement_description': 0, 'self_C': 2, 'answer_description': 4, 'task_description': 3, 'ctr_description': 0, 'self_B': 3}, 0.7197477729956961
{'self_A': 5, 'statement_description': 4, 'self_C': 7, 'answer_description': 0, 'task_description': 5, 'ctr_description': 4, 'self_B': 0}, 0.7148217636022514
{'self_A': 5, 'statement_description': 0, 'self_C': 2, 'answer_description': 0, 'task_description': 5, 'ctr_description': 4, 'self_B': 0}, 0.7141352591589558
{'self_A': 5, 'statement_description': 0, 'self_C': 6, 'answer_description': 0, 'task_description': 4, 'ctr_description': 0, 'self_B': 3}, 0.7099709970997099
{'self_A': 6, 'statement_description': 5, 'self_C': 2, 'answer_description': 2, 'task_description': 3, 'ctr_description': 3, 'self_B': 0}, 0.7070707070707071
{'self_A': 5, 'statement_description': 0, 'self_C': 6, 'answer_description': 0, 'task_description': 4, 'ctr_description': 0, 'self_B': 3}, 0.6998799519807923
{'self_A': 5, 'statement_description': 0, 'self_C': 6, 'answer_description': 4, 'task_description': 4, 'ctr_description': 1, 'self_B': 4}, 0.6997297567811029
{'self_A': 5, 'statement_description': 0, 'self_C': 5, 'answer_description': 2, 'task_description': 3, 'ctr_description': 3, 'self_B': 3}, 0.6997297567811029
{'self_A': 6, 'statement_description': 6, 'self_C': 6, 'answer_description': 0, 'task_description': 5, 'ctr_description': 0, 'self_B': 1}, 0.6989160979526294
{'self_A': 6, 'statement_description': 1, 'self_C': 7, 'answer_description': 4, 'task_description': 3, 'ctr_description': 1, 'self_B': 1}, 0.6963255390221682
{'self_A': 4, 'statement_description': 5, 'self_C': 8, 'answer_description': 5, 'task_description': 3, 'ctr_description': 3, 'self_B': 4}, 0.6948428440646933
{'self_A': 5, 'statement_description': 6, 'self_C': 6, 'answer_description': 0, 'task_description': 3, 'ctr_description': 3, 'self_B': 4}, 0.6901587301587302
{'self_A': 5, 'statement_description': 1, 'self_C': 2, 'answer_description': 2, 'task_description': 5, 'ctr_description': 4, 'self_B': 0}, 0.6862030569895738
{'self_A': 5, 'statement_description': 4, 'self_C': 6, 'answer_description': 1, 'task_description': 4, 'ctr_description': 0, 'self_B': 3}, 0.6849921248031201
{'self_A': 5, 'statement_description': 1, 'self_C': 7, 'answer_description': 0, 'task_description': 5, 'ctr_description': 1, 'self_B': 4}, 0.6846709388668497
{'self_A': 5, 'statement_description': 6, 'self_C': 5, 'answer_description': 2, 'task_description': 5, 'ctr_description': 2, 'self_B': 0}, 0.684044233807267
{'self_A': 5, 'statement_description': 6, 'self_C': 8, 'answer_description': 0, 'task_description': 4, 'ctr_description': 2, 'self_B': 4}, 0.683218101822753
{'self_A': 6, 'statement_description': 0, 'self_C': 5, 'answer_description': 2, 'task_description': 5, 'ctr_description': 0, 'self_B': 3}, 0.6821312343903732
