{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 0}, 0.6742328709541825
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'self_A': 1, 'self_B': 1, 'self_C': 1, 'answer_description': 1}, 0.696969696969697
{'task_description': 2, 'ctr_description': 2, 'statement_description': 2, 'self_A': 2, 'self_B': 2, 'self_C': 2, 'answer_description': 2}, 0.714935860568628
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'self_A': 3, 'self_B': 3, 'self_C': 3, 'answer_description': 3}, 0.6260697827518105
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'self_A': 4, 'self_B': 4, 'self_C': 4, 'answer_description': 4}, 0.6946259167480163
{'task_description': 2, 'ctr_description': 2, 'statement_description': 3, 'self_A': 2, 'self_B': 3, 'self_C': 0, 'answer_description': 4}, 0.6689669221562986
{'task_description': 0, 'ctr_description': 3, 'statement_description': 2, 'self_A': 1, 'self_B': 4, 'self_C': 0, 'answer_description': 1}, 0.6749268585431722
{'task_description': 1, 'ctr_description': 3, 'statement_description': 2, 'self_A': 4, 'self_B': 1, 'self_C': 0, 'answer_description': 3}, 0.6749268585431722
{'task_description': 2, 'ctr_description': 1, 'statement_description': 3, 'self_A': 0, 'self_B': 0, 'self_C': 3, 'answer_description': 0}, 0.6510673234811166
{'task_description': 3, 'ctr_description': 1, 'statement_description': 4, 'self_A': 3, 'self_B': 3, 'self_C': 3, 'answer_description': 0}, 0.6515679442508711
{'task_description': 4, 'ctr_description': 2, 'statement_description': 1, 'self_A': 2, 'self_B': 0, 'self_C': 0, 'answer_description': 3}, 0.6266666666666667
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'self_A': 3, 'self_B': 4, 'self_C': 3, 'answer_description': 3}, 0.6373333333333333
{'task_description': 1, 'ctr_description': 2, 'statement_description': 4, 'self_A': 1, 'self_B': 1, 'self_C': 0, 'answer_description': 0}, 0.7097387648883995
{'task_description': 4, 'ctr_description': 1, 'statement_description': 2, 'self_A': 2, 'self_B': 4, 'self_C': 3, 'answer_description': 3}, 0.6471362738643844
{'task_description': 4, 'ctr_description': 3, 'statement_description': 4, 'self_A': 2, 'self_B': 4, 'self_C': 1, 'answer_description': 1}, 0.7266929851199515
{'task_description': 0, 'ctr_description': 4, 'statement_description': 1, 'self_A': 2, 'self_B': 1, 'self_C': 1, 'answer_description': 0}, 0.7338756245135698
{'task_description': 1, 'ctr_description': 3, 'statement_description': 2, 'self_A': 3, 'self_B': 3, 'self_C': 2, 'answer_description': 0}, 0.73
{'task_description': 1, 'ctr_description': 4, 'statement_description': 3, 'self_A': 0, 'self_B': 4, 'self_C': 1, 'answer_description': 4}, 0.6946259167480163
{'task_description': 4, 'ctr_description': 2, 'statement_description': 4, 'self_A': 1, 'self_B': 1, 'self_C': 2, 'answer_description': 4}, 0.72997299729973
{'task_description': 1, 'ctr_description': 2, 'statement_description': 0, 'self_A': 4, 'self_B': 2, 'self_C': 4, 'answer_description': 0}, 0.6659042430161137
{'task_description': 1, 'ctr_description': 4, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 4, 'answer_description': 1}, 0.7307936507936508
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'self_A': 3, 'self_B': 4, 'self_C': 3, 'answer_description': 2}, 0.6017258546299369
{'task_description': 4, 'ctr_description': 2, 'statement_description': 0, 'self_A': 2, 'self_B': 0, 'self_C': 1, 'answer_description': 2}, 0.6532156368221942
{'task_description': 4, 'ctr_description': 2, 'statement_description': 1, 'self_A': 1, 'self_B': 0, 'self_C': 0, 'answer_description': 0}, 0.6888799678843838
{'task_description': 4, 'ctr_description': 0, 'statement_description': 4, 'self_A': 4, 'self_B': 0, 'self_C': 4, 'answer_description': 1}, 0.69
