{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 0}, 0.8058035714285714
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 1}, 0.8023649214484306
{'task_description': 0, 'ctr_description': 0, 'statement_description': 2, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 0}, 0.7896049248032417
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 1, 'self_C': 0, 'answer_description': 0}, 0.7880191567873125
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'self_A': 0, 'self_B': 2, 'self_C': 0, 'answer_description': 0}, 0.7865812991863412
{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 0}, 0.7452969301577372
{'task_description': 0, 'ctr_description': 3, 'statement_description': 4, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 0}, 0.735109700349834
{'task_description': 0, 'ctr_description': 0, 'statement_description': 1, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 0}, 0.7333214809547091
{'task_description': 2, 'ctr_description': 1, 'statement_description': 0, 'self_A': 0, 'self_B': 5, 'self_C': 0, 'answer_description': 3}, 0.7277951406391774
{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 4, 'self_C': 0, 'answer_description': 3}, 0.7219709911901651
{'task_description': 1, 'ctr_description': 2, 'statement_description': 4, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 2}, 0.7091450216450217
{'task_description': 3, 'ctr_description': 0, 'statement_description': 4, 'self_A': 0, 'self_B': 5, 'self_C': 0, 'answer_description': 2}, 0.7040889526542324
{'task_description': 2, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 3}, 0.695906432748538
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'self_A': 1, 'self_B': 4, 'self_C': 0, 'answer_description': 0}, 0.691358024691358
{'task_description': 0, 'ctr_description': 2, 'statement_description': 3, 'self_A': 0, 'self_B': 4, 'self_C': 0, 'answer_description': 0}, 0.6881671156017033
{'task_description': 0, 'ctr_description': 3, 'statement_description': 3, 'self_A': 0, 'self_B': 5, 'self_C': 0, 'answer_description': 0}, 0.6846709388668497
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'self_A': 0, 'self_B': 4, 'self_C': 0, 'answer_description': 0}, 0.6829070194372434
{'task_description': 3, 'ctr_description': 1, 'statement_description': 3, 'self_A': 0, 'self_B': 4, 'self_C': 0, 'answer_description': 3}, 0.6785714285714286
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'self_A': 1, 'self_B': 3, 'self_C': 0, 'answer_description': 0}, 0.6740262795308667
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'self_A': 0, 'self_B': 4, 'self_C': 0, 'answer_description': 3}, 0.6586876936074345
{'task_description': 1, 'ctr_description': 0, 'statement_description': 3, 'self_A': 0, 'self_B': 4, 'self_C': 0, 'answer_description': 3}, 0.6549760493082772
{'task_description': 1, 'ctr_description': 1, 'statement_description': 3, 'self_A': 1, 'self_B': 4, 'self_C': 0, 'answer_description': 0}, 0.6376811594202898
{'task_description': 3, 'ctr_description': 2, 'statement_description': 3, 'self_A': 0, 'self_B': 4, 'self_C': 0, 'answer_description': 0}, 0.6228956228956228
{'task_description': 0, 'ctr_description': 0, 'statement_description': 3, 'self_A': 1, 'self_B': 4, 'self_C': 0, 'answer_description': 0}, 0.6190959878110716
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'self_A': 1, 'self_B': 3, 'self_C': 0, 'answer_description': 2}, 0.5957834667512087
