{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 0}, 0.7473017441795169
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'self_A': 1, 'self_B': 1, 'self_C': 1, 'answer_description': 1}, 0.5684332471897239
{'task_description': 2, 'ctr_description': 2, 'statement_description': 2, 'self_A': 2, 'self_B': 2, 'self_C': 2, 'answer_description': 2}, 0.5607948975824624
{'task_description': 3, 'ctr_description': 3, 'statement_description': 3, 'self_A': 3, 'self_B': 3, 'self_C': 3, 'answer_description': 3}, 0.7690737290688205
{'task_description': 4, 'ctr_description': 4, 'statement_description': 4, 'self_A': 4, 'self_B': 4, 'self_C': 4, 'answer_description': 4}, 0.4620734622908063
{'task_description': 0, 'ctr_description': 0, 'statement_description': 3, 'self_A': 1, 'self_B': 4, 'self_C': 0, 'answer_description': 0}, 0.6383101851851852
{'task_description': 2, 'ctr_description': 1, 'statement_description': 2, 'self_A': 4, 'self_B': 2, 'self_C': 2, 'answer_description': 3}, 0.5031284504968716
{'task_description': 1, 'ctr_description': 1, 'statement_description': 3, 'self_A': 3, 'self_B': 3, 'self_C': 0, 'answer_description': 2}, 0.7013888888888888
{'task_description': 4, 'ctr_description': 0, 'statement_description': 2, 'self_A': 2, 'self_B': 3, 'self_C': 4, 'answer_description': 3}, 0.6222943198876567
{'task_description': 3, 'ctr_description': 3, 'statement_description': 0, 'self_A': 1, 'self_B': 3, 'self_C': 2, 'answer_description': 3}, 0.6865501519756838
{'task_description': 4, 'ctr_description': 1, 'statement_description': 4, 'self_A': 4, 'self_B': 0, 'self_C': 1, 'answer_description': 3}, 0.5481004901960784
{'task_description': 2, 'ctr_description': 3, 'statement_description': 0, 'self_A': 1, 'self_B': 1, 'self_C': 4, 'answer_description': 3}, 0.6044579332305089
{'task_description': 2, 'ctr_description': 1, 'statement_description': 4, 'self_A': 1, 'self_B': 3, 'self_C': 2, 'answer_description': 3}, 0.513442951515711
{'task_description': 1, 'ctr_description': 3, 'statement_description': 2, 'self_A': 1, 'self_B': 3, 'self_C': 3, 'answer_description': 4}, 0.6425953079178885
{'task_description': 0, 'ctr_description': 0, 'statement_description': 1, 'self_A': 1, 'self_B': 2, 'self_C': 2, 'answer_description': 4}, 0.5480754246532648
{'task_description': 4, 'ctr_description': 3, 'statement_description': 4, 'self_A': 2, 'self_B': 1, 'self_C': 2, 'answer_description': 0}, 0.6071904942547021
{'task_description': 4, 'ctr_description': 0, 'statement_description': 0, 'self_A': 3, 'self_B': 4, 'self_C': 3, 'answer_description': 0}, 0.7433304814497939
{'task_description': 0, 'ctr_description': 4, 'statement_description': 1, 'self_A': 1, 'self_B': 1, 'self_C': 1, 'answer_description': 4}, 0.5810268650652582
{'task_description': 0, 'ctr_description': 4, 'statement_description': 2, 'self_A': 3, 'self_B': 3, 'self_C': 1, 'answer_description': 0}, 0.5934158001084224
{'task_description': 3, 'ctr_description': 4, 'statement_description': 4, 'self_A': 2, 'self_B': 4, 'self_C': 3, 'answer_description': 0}, 0.7473017441795169
{'task_description': 2, 'ctr_description': 2, 'statement_description': 3, 'self_A': 0, 'self_B': 0, 'self_C': 0, 'answer_description': 2}, 0.6663669490322275
{'task_description': 1, 'ctr_description': 2, 'statement_description': 4, 'self_A': 3, 'self_B': 2, 'self_C': 2, 'answer_description': 3}, 0.6286393345216874
{'task_description': 3, 'ctr_description': 2, 'statement_description': 2, 'self_A': 4, 'self_B': 0, 'self_C': 3, 'answer_description': 0}, 0.5193747964832303
{'task_description': 3, 'ctr_description': 1, 'statement_description': 1, 'self_A': 2, 'self_B': 1, 'self_C': 0, 'answer_description': 0}, 0.7312939231087227
{'task_description': 4, 'ctr_description': 2, 'statement_description': 4, 'self_A': 2, 'self_B': 4, 'self_C': 3, 'answer_description': 4}, 0.761934034491623
