{'task_description': 2, 'ctr_description': 4, 'statement_description': 2, 'highlight_description': 3, 'answer_description': 1}, 0.7248280175109443
{'task_description': 0, 'ctr_description': 3, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 1}, 0.7198879551820728
{'task_description': 0, 'ctr_description': 2, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 2}, 0.7149928748218706
{'task_description': 1, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 6, 'answer_description': 2}, 0.7149928748218706
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 2, 'answer_description': 2}, 0.7148217636022514
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'highlight_description': 1, 'answer_description': 0}, 0.7141352591589558
{'task_description': 3, 'ctr_description': 3, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 2}, 0.7099709970997099
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 2}, 0.7097387648883995
{'task_description': 1, 'ctr_description': 1, 'statement_description': 2, 'highlight_description': 6, 'answer_description': 1}, 0.7049336100622641
{'task_description': 2, 'ctr_description': 3, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 2}, 0.7049336100622641
{'task_description': 1, 'ctr_description': 1, 'statement_description': 2, 'highlight_description': 1, 'answer_description': 1}, 0.7044014128610436
{'task_description': 3, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 2}, 0.6999699969997
{'task_description': 1, 'ctr_description': 3, 'statement_description': 1, 'highlight_description': 5, 'answer_description': 2}, 0.6989160979526294
{'task_description': 1, 'ctr_description': 3, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 3}, 0.6946259167480163
{'task_description': 1, 'ctr_description': 3, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 1}, 0.6895032051282051
{'task_description': 1, 'ctr_description': 1, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 3}, 0.6843608306821314
{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 5, 'answer_description': 3}, 0.6788438378161381
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 1, 'answer_description': 3}, 0.6713769306605324
{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 4, 'answer_description': 3}, 0.6649916247906198
{'task_description': 3, 'ctr_description': 3, 'statement_description': 1, 'highlight_description': 4, 'answer_description': 2}, 0.664320248503219
{'task_description': 2, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 6, 'answer_description': 1}, 0.6639835502394744
{'task_description': 1, 'ctr_description': 1, 'statement_description': 2, 'highlight_description': 4, 'answer_description': 2}, 0.6542999574137629
{'task_description': 1, 'ctr_description': 1, 'statement_description': 2, 'highlight_description': 4, 'answer_description': 2}, 0.6542999574137629
{'task_description': 3, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 4, 'answer_description': 2}, 0.6449911247781195
{'task_description': 1, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 5, 'answer_description': 2}, 0.6376811594202898
