{'task_description': 0, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7256791114679513
{'task_description': 1, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 0}, 0.7229608696135916
{'task_description': 2, 'ctr_description': 2, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 1}, 0.7199875550024446
{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'highlight_description': 0, 'answer_description': 0}, 0.7198879551820728
{'task_description': 1, 'ctr_description': 0, 'statement_description': 2, 'highlight_description': 0, 'answer_description': 1}, 0.7193888913634137
{'task_description': 4, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 0}, 0.6898311302820425
{'task_description': 7, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 0}, 0.6864436932930084
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 3}, 0.6835016835016836
{'task_description': 3, 'ctr_description': 3, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 0}, 0.6827375850207613
{'task_description': 5, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 3}, 0.679915542627388
{'task_description': 3, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 4}, 0.679915542627388
{'task_description': 7, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 5}, 0.6726203732573159
{'task_description': 5, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 5}, 0.6721530844373076
{'task_description': 4, 'ctr_description': 1, 'statement_description': 0, 'highlight_description': 0, 'answer_description': 5}, 0.66996699669967
{'task_description': 6, 'ctr_description': 1, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 0}, 0.6661518895348837
{'task_description': 6, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 5}, 0.6584821428571428
{'task_description': 6, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 0}, 0.657426895347275
{'task_description': 4, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 4}, 0.6570121951219512
{'task_description': 3, 'ctr_description': 1, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 3}, 0.6530866393880093
{'task_description': 3, 'ctr_description': 1, 'statement_description': 4, 'highlight_description': 0, 'answer_description': 2}, 0.6449865732101406
{'task_description': 6, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 4}, 0.641504329004329
{'task_description': 3, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 4}, 0.6318427360622083
{'task_description': 5, 'ctr_description': 3, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 2}, 0.6169738613677516
{'task_description': 6, 'ctr_description': 1, 'statement_description': 5, 'highlight_description': 0, 'answer_description': 5}, 0.6159454976567109
{'task_description': 6, 'ctr_description': 1, 'statement_description': 3, 'highlight_description': 0, 'answer_description': 2}, 0.569377990430622
