{'task_description': 2, 'instruction_description': 6, 'answer_description': 0}, 0.6762971980774539
{'task_description': 0, 'instruction_description': 1, 'answer_description': 0}, 0.6747497177094008
{'task_description': 1, 'instruction_description': 0, 'answer_description': 0}, 0.6742537257650986
{'task_description': 0, 'instruction_description': 2, 'answer_description': 0}, 0.6720602016765644
{'task_description': 2, 'instruction_description': 4, 'answer_description': 0}, 0.6710641725917996
{'task_description': 3, 'instruction_description': 3, 'answer_description': 0}, 0.6706895311425024
{'task_description': 2, 'instruction_description': 6, 'answer_description': 0}, 0.6673093132197512
{'task_description': 4, 'instruction_description': 5, 'answer_description': 0}, 0.6625522301521884
{'task_description': 6, 'instruction_description': 4, 'answer_description': 0}, 0.6555886807919524
{'task_description': 6, 'instruction_description': 4, 'answer_description': 0}, 0.6555242581942886
{'task_description': 7, 'instruction_description': 4, 'answer_description': 0}, 0.6547076862431289
{'task_description': 5, 'instruction_description': 6, 'answer_description': 0}, 0.6510520173483401
{'task_description': 4, 'instruction_description': 5, 'answer_description': 0}, 0.6504221737893141
{'task_description': 5, 'instruction_description': 4, 'answer_description': 0}, 0.6463625402705341
{'task_description': 4, 'instruction_description': 1, 'answer_description': 0}, 0.6461332270490006
{'task_description': 4, 'instruction_description': 1, 'answer_description': 0}, 0.6441567096030375
{'task_description': 4, 'instruction_description': 1, 'answer_description': 0}, 0.6422110368718098
{'task_description': 5, 'instruction_description': 4, 'answer_description': 0}, 0.6395451082006004
{'task_description': 7, 'instruction_description': 1, 'answer_description': 0}, 0.6379364744768976
{'task_description': 6, 'instruction_description': 1, 'answer_description': 0}, 0.6358380051842132
{'task_description': 6, 'instruction_description': 7, 'answer_description': 0}, 0.6353864249424792
{'task_description': 6, 'instruction_description': 7, 'answer_description': 0}, 0.6223923250086362
{'task_description': 7, 'instruction_description': 5, 'answer_description': 0}, 0.6217845782110396
{'task_description': 6, 'instruction_description': 1, 'answer_description': 0}, 0.6204960625164275
{'task_description': 7, 'instruction_description': 5, 'answer_description': 0}, 0.6089105429854629
