{'task_description': 0, 'instruction_description': 0, 'answer_description': 1}, 0.6868704953701164
{'task_description': 0, 'instruction_description': 0, 'answer_description': 2}, 0.6824496978768011
{'task_description': 2, 'instruction_description': 1, 'answer_description': 3}, 0.6816644222209077
{'task_description': 0, 'instruction_description': 0, 'answer_description': 0}, 0.6810050321698924
{'task_description': 1, 'instruction_description': 0, 'answer_description': 0}, 0.6794051514265134
{'task_description': 0, 'instruction_description': 2, 'answer_description': 2}, 0.6617580761044127
{'task_description': 5, 'instruction_description': 5, 'answer_description': 2}, 0.6531679057426738
{'task_description': 4, 'instruction_description': 3, 'answer_description': 5}, 0.6515723127184071
{'task_description': 4, 'instruction_description': 2, 'answer_description': 2}, 0.6500426740632387
{'task_description': 3, 'instruction_description': 5, 'answer_description': 2}, 0.6473522791438773
{'task_description': 4, 'instruction_description': 5, 'answer_description': 4}, 0.6435744151433128
{'task_description': 0, 'instruction_description': 5, 'answer_description': 2}, 0.6400871371454728
{'task_description': 5, 'instruction_description': 3, 'answer_description': 4}, 0.6380266821482122
{'task_description': 0, 'instruction_description': 5, 'answer_description': 5}, 0.6376752148721698
{'task_description': 0, 'instruction_description': 0, 'answer_description': 4}, 0.6366594730857584
{'task_description': 0, 'instruction_description': 0, 'answer_description': 5}, 0.6351523435446984
{'task_description': 3, 'instruction_description': 0, 'answer_description': 4}, 0.6283408586278469
{'task_description': 5, 'instruction_description': 5, 'answer_description': 4}, 0.6158105533511111
{'task_description': 4, 'instruction_description': 0, 'answer_description': 5}, 0.6155270096419276
{'task_description': 3, 'instruction_description': 0, 'answer_description': 5}, 0.6116984372026691
{'task_description': 0, 'instruction_description': 3, 'answer_description': 2}, 0.6065740406058324
{'task_description': 5, 'instruction_description': 4, 'answer_description': 2}, 0.6064663572438294
{'task_description': 5, 'instruction_description': 2, 'answer_description': 6}, 0.5720737510391436
{'task_description': 4, 'instruction_description': 5, 'answer_description': 6}, 0.5695997963338996
{'task_description': 3, 'instruction_description': 4, 'answer_description': 6}, 0.5623751601084281
