{'task_description': 3, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 2}, 0.73
{'task_description': 6, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 2}, 0.7298919567827131
{'task_description': 3, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 2}, 0.724938111074992
{'task_description': 7, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 3}, 0.7246627118219819
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7234443746071653
{'task_description': 2, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.72
{'task_description': 1, 'ctr_description': 0, 'statement_description': 1, 'answer_description': 1}, 0.7199719971997199
{'task_description': 4, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 2}, 0.7149928748218706
{'task_description': 8, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 4}, 0.714935860568628
{'task_description': 6, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 2}, 0.7146504467973267
{'task_description': 7, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 4}, 0.71
{'task_description': 7, 'ctr_description': 0, 'statement_description': 5, 'answer_description': 4}, 0.7099709970997099
{'task_description': 7, 'ctr_description': 2, 'statement_description': 2, 'answer_description': 3}, 0.7097387648883995
{'task_description': 7, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 5}, 0.6999699969997
{'task_description': 4, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 3}, 0.6949923748093703
{'task_description': 7, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 5}, 0.6948092557848655
{'task_description': 5, 'ctr_description': 0, 'statement_description': 4, 'answer_description': 5}, 0.6946259167480163
{'task_description': 7, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 5}, 0.6946259167480163
{'task_description': 7, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 3}, 0.6937059074590144
{'task_description': 8, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 2}, 0.6892230576441103
{'task_description': 7, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 2}, 0.6848030018761726
{'task_description': 4, 'ctr_description': 0, 'statement_description': 5, 'answer_description': 3}, 0.6836634781953754
{'task_description': 8, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 3}, 0.67996799679968
{'task_description': 8, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 4}, 0.6797117405665098
{'task_description': 7, 'ctr_description': 0, 'statement_description': 4, 'answer_description': 5}, 0.6797117405665098
