{'task_description': 4, 'ctr_description': 0, 'statement_description': 6, 'answer_description': 1}, 0.7348342714196372
{'task_description': 2, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 2}, 0.7341959427267484
{'task_description': 0, 'ctr_description': 0, 'statement_description': 2, 'answer_description': 0}, 0.7330714411623983
{'task_description': 1, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 1}, 0.7249931248281207
{'task_description': 2, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 2}, 0.7249931248281207
{'task_description': 0, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 0}, 0.7248280175109443
{'task_description': 4, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 2}, 0.7198879551820728
{'task_description': 0, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 1}, 0.7189883580891208
{'task_description': 2, 'ctr_description': 0, 'statement_description': 3, 'answer_description': 1}, 0.7098839535814325
{'task_description': 3, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 3}, 0.7097387648883995
{'task_description': 1, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 0}, 0.7081320450885669
{'task_description': 1, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 0}, 0.705762987012987
{'task_description': 1, 'ctr_description': 4, 'statement_description': 5, 'answer_description': 2}, 0.7049336100622641
{'task_description': 2, 'ctr_description': 0, 'statement_description': 6, 'answer_description': 1}, 0.7037483367226531
{'task_description': 3, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 0}, 0.6995238216495633
{'task_description': 3, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 1}, 0.6909123153707786
{'task_description': 1, 'ctr_description': 5, 'statement_description': 6, 'answer_description': 1}, 0.6884496539748206
{'task_description': 4, 'ctr_description': 5, 'statement_description': 6, 'answer_description': 0}, 0.6799999999999999
{'task_description': 4, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 0}, 0.6760805749569794
{'task_description': 0, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 4}, 0.674601386698706
{'task_description': 2, 'ctr_description': 6, 'statement_description': 6, 'answer_description': 0}, 0.6704767789105138
{'task_description': 3, 'ctr_description': 6, 'statement_description': 3, 'answer_description': 4}, 0.67
{'task_description': 1, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 3}, 0.6680201230879236
{'task_description': 1, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 3}, 0.6680201230879236
{'task_description': 1, 'ctr_description': 0, 'statement_description': 4, 'answer_description': 3}, 0.6659580929243851
