{'task_description': 1, 'ctr_description': 1, 'statement_description': 1, 'answer_description': 1}, 0.7346749768466372
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 2}, 0.7297567811029927
{'task_description': 2, 'ctr_description': 2, 'statement_description': 0, 'answer_description': 2}, 0.7297567811029927
{'task_description': 0, 'ctr_description': 0, 'statement_description': 0, 'answer_description': 0}, 0.7293233082706767
{'task_description': 3, 'ctr_description': 3, 'statement_description': 2, 'answer_description': 3}, 0.7266929851199515
{'task_description': 0, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 7}, 0.6949313595559001
{'task_description': 5, 'ctr_description': 5, 'statement_description': 4, 'answer_description': 7}, 0.6948092557848655
{'task_description': 2, 'ctr_description': 4, 'statement_description': 4, 'answer_description': 6}, 0.6901587301587302
{'task_description': 1, 'ctr_description': 4, 'statement_description': 7, 'answer_description': 8}, 0.689875950380152
{'task_description': 4, 'ctr_description': 3, 'statement_description': 3, 'answer_description': 7}, 0.6892230576441103
{'task_description': 4, 'ctr_description': 2, 'statement_description': 7, 'answer_description': 5}, 0.6888799678843838
{'task_description': 5, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 6}, 0.6880032206119162
{'task_description': 5, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 7}, 0.6849291090495362
{'task_description': 2, 'ctr_description': 6, 'statement_description': 7, 'answer_description': 8}, 0.6846136517233611
{'task_description': 5, 'ctr_description': 4, 'statement_description': 6, 'answer_description': 8}, 0.6747967479674797
{'task_description': 2, 'ctr_description': 3, 'statement_description': 7, 'answer_description': 5}, 0.6743405395926751
{'task_description': 2, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 6}, 0.6736210489317367
{'task_description': 5, 'ctr_description': 5, 'statement_description': 7, 'answer_description': 4}, 0.6713769306605324
{'task_description': 5, 'ctr_description': 5, 'statement_description': 5, 'answer_description': 5}, 0.66996699669967
{'task_description': 1, 'ctr_description': 3, 'statement_description': 4, 'answer_description': 4}, 0.6659580929243851
{'task_description': 1, 'ctr_description': 2, 'statement_description': 3, 'answer_description': 5}, 0.6647904940587868
{'task_description': 4, 'ctr_description': 3, 'statement_description': 5, 'answer_description': 8}, 0.6631049654305469
{'task_description': 1, 'ctr_description': 4, 'statement_description': 3, 'answer_description': 8}, 0.64996499649965
{'task_description': 2, 'ctr_description': 6, 'statement_description': 5, 'answer_description': 8}, 0.648735447611401
{'task_description': 0, 'ctr_description': 5, 'statement_description': 3, 'answer_description': 5}, 0.63996399639964
